XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-484.8542;308.3841;904.3813;-448.5920;395.6381;1126.6160;-397.7464;396.4180;1454.7402
-484.8359;308.4040;904.4047;-448.5403;395.6568;1126.6466;-397.6710;396.4591;1454.7664
-484.8341;308.4263;904.4050;-448.4894;395.6707;1126.6778;-397.6017;396.5028;1454.7980
-484.8202;308.4545;904.4050;-448.4422;395.6859;1126.7102;-397.5232;396.5251;1454.8270
-484.8019;308.4882;904.4081;-448.3916;395.7059;1126.7437;-397.4391;396.5477;1454.8526
-484.7440;308.5169;904.4636;-448.3467;395.7279;1126.7753;-397.3513;396.5565;1454.8699
-484.7390;308.5705;904.4661;-448.2877;395.7494;1126.8049;-397.2709;396.5565;1454.8969
-484.7075;308.6236;904.4861;-448.2387;395.7814;1126.8404;-397.1812;396.5565;1454.9228
-484.6860;308.6804;904.4911;-448.2053;395.8680;1126.8968;-397.0694;396.4937;1454.9476
-484.6092;308.7228;904.5715;-448.1591;395.9422;1126.9514;-396.9602;396.4542;1454.9754
-484.5454;308.7865;904.6138;-448.1489;396.1611;1127.0709;-396.7946;396.2401;1454.9942
-484.4739;308.8542;904.6876;-448.1210;396.3062;1127.1569;-396.6560;396.1303;1455.0138
-484.4612;308.9548;904.6951;-448.0785;396.3970;1127.2121;-396.5432;396.1007;1455.0341
-484.4226;309.0345;904.7281;-448.0204;396.4744;1127.2537;-396.4456;396.1007;1455.0622
-484.3927;309.1193;904.7363;-447.9689;396.5852;1127.3007;-396.3344;396.1007;1455.0885
-484.3893;309.2125;904.7385;-447.8952;396.6332;1127.3250;-396.2501;396.1608;1455.1164
-484.3587;309.3022;904.7400;-447.8203;396.7109;1127.3601;-396.1675;396.2327;1455.1474
-484.3305;309.4012;904.7400;-447.7420;396.7109;1127.3601;-396.0790;396.2863;1455.1806
-484.2856;309.4933;904.7527;-447.6325;396.7618;1127.3704;-396.0491;396.5457;1455.2151
-484.2304;309.5808;904.7776;-447.5452;396.8148;1127.3832;-396.0046;396.7808;1455.2405
-484.1683;309.6744;904.8215;-447.4345;396.8148;1127.3832;-395.9412;396.8962;1455.2895
-484.1232;309.7721;904.8434;-447.3350;396.9153;1127.3704;-395.8681;397.0220;1455.3288
-484.0651;309.8732;904.9026;-447.2416;396.9209;1127.3704;-395.8051;397.2023;1455.3441
-484.0295;309.9786;904.9312;-447.2146;396.9776;1127.3846;-395.6779;397.2517;1455.3442
-483.9744;310.0604;904.9380;-447.1575;397.0019;1127.3846;-395.5774;397.2671;1455.3491
-483.9500;310.1766;904.9553;-447.1333;397.2270;1127.4123;-395.4119;397.2724;1455.3491
-483.9479;310.2954;904.9966;-447.0860;397.3534;1127.4638;-395.2706;397.3698;1455.3574
-483.8618;310.3901;905.0307;-446.9787;397.4078;1127.5109;-395.2001;397.4342;1455.3946
-483.7873;310.4929;905.0880;-446.8867;397.4384;1127.5249;-395.1172;397.5784;1455.4253
-483.7852;310.6174;905.0964;-446.7920;397.5489;1127.5839;-395.0144;397.6380;1455.4623
-483.7210;310.7209;905.1570;-446.7140;397.5779;1127.5942;-394.9137;397.6571;1455.4860
-483.6498;310.8316;905.2269;-446.6527;397.7894;1127.6793;-394.7656;397.7481;1455.5198
-483.5963;310.9414;905.2889;-446.5809;397.7923;1127.6900;-394.6686;397.8023;1455.5514
-483.5474;311.0569;905.3217;-446.5369;397.8784;1127.7247;-394.5304;397.8208;1455.5742
-483.4984;311.1546;905.3790;-446.4668;397.9287;1127.7618;-394.4241;397.8208;1455.6106
-483.4546;311.2579;905.4293;-446.4078;398.1049;1127.8452;-394.2837;397.8208;1455.6493
-483.4111;311.3611;905.4792;-446.3658;398.4092;1127.9819;-394.1061;397.8929;1455.6870
