XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
12.6553;192.9576;911.2752;3.0683;283.5421;1149.0878;-30.1803;319.1404;1469.3500
12.4062;193.0096;911.2424;3.0125;283.6157;1149.0784;-30.1403;319.0567;1469.3652
12.1586;193.0600;911.2162;2.9601;283.6889;1149.0784;-30.1303;318.9416;1469.3686
11.9159;193.1012;911.1659;2.9127;283.7207;1149.0811;-30.0705;318.8576;1469.3974
11.6773;193.1351;911.1138;2.8645;283.7741;1149.0811;-30.0296;318.7500;1469.4301
11.4550;193.1747;911.0865;2.8194;283.8193;1149.0784;-29.9878;318.6527;1469.4687
11.2455;193.2127;911.0824;2.7863;283.8261;1149.0712;-29.9284;318.5995;1469.4908
11.0579;193.2599;911.0799;2.7717;283.8311;1149.0503;-29.8874;318.5357;1469.5154
10.8811;193.2974;911.0706;2.7502;283.8397;1149.0473;-29.8368;318.5195;1469.5298
10.7201;193.3347;911.0677;2.5784;283.9588;1149.0456;-29.5796;318.5144;1469.6365
10.5682;193.3641;911.0605;2.4573;284.0236;1149.0338;-29.3476;318.5063;1469.7334
10.4404;193.3893;911.0442;2.3935;284.0562;1149.0338;-29.1716;318.5063;1469.8127
10.3422;193.4195;911.0405;2.3553;284.0868;1149.0338;-29.0321;318.4886;1469.8796
10.2624;193.4442;911.0387;2.3553;284.1218;1149.0498;-28.9119;318.4400;1469.9772
10.2023;193.4547;911.0405;2.3553;284.1218;1149.0505;-28.7975;318.4400;1469.9772
10.1787;193.4571;911.0418;2.3582;284.1218;1149.0563;-28.6977;318.4400;1469.9772
10.1787;193.4571;911.0418;2.3913;284.1112;1149.0563;-28.5915;318.5100;1469.9644
10.1787;193.4547;911.0609;2.4420;284.0528;1149.0563;-28.5055;318.5112;1469.9399
10.2099;193.4452;911.0640;2.4790;284.0095;1149.0542;-28.4422;318.5112;1469.9399
10.2679;193.4292;911.0794;2.5366;283.9481;1149.0364;-28.3454;318.5112;1469.9399
10.3359;193.4049;911.1001;2.5978;283.9082;1149.0290;-28.2382;318.4928;1469.9450
10.4157;193.3694;911.1137;2.6693;283.8674;1149.0290;-28.1931;318.4493;1469.9694
10.5141;193.3185;911.1308;2.7460;283.8360;1149.0290;-28.0388;318.3783;1470.0530
10.6335;193.2661;911.1602;2.8282;283.8360;1149.0405;-27.9005;318.3475;1470.1116
10.7688;193.1983;911.1820;2.9051;283.8360;1149.0694;-27.7912;318.3475;1470.1168
10.9282;193.1195;911.2050;2.9917;283.8366;1149.0920;-27.6727;318.3287;1470.1234
11.1001;193.0354;911.2385;3.0850;283.8474;1149.1227;-27.5646;318.3067;1470.1398
11.2846;192.9456;911.2671;3.1651;283.8951;1149.1665;-27.4465;318.3203;1470.1814
11.4802;192.8533;911.2984;3.2549;283.8951;1149.1920;-27.3057;318.3203;1470.2176
11.6906;192.7584;911.3338;3.3535;283.8951;1149.2031;-27.1606;318.3203;1470.2176
11.9347;192.6535;911.3770;3.4857;283.8663;1149.2058;-27.0001;318.4622;1470.2176
12.2101;192.5415;911.4012;3.6317;283.7998;1149.2058;-26.8722;318.5536;1470.2176
12.4803;192.4201;911.4336;3.7863;283.7450;1149.2058;-26.7801;318.5536;1470.2176
12.7612;192.3065;911.4807;3.9912;283.5596;1149.2209;-26.6645;318.5536;1470.2495
13.0460;192.2054;911.5244;4.1855;283.4493;1149.2319;-26.5981;318.5407;1470.2495
13.3329;192.1063;911.5927;4.3759;283.3808;1149.2662;-26.5779;318.5210;1470.2838
13.6040;192.0037;911.6422;4.5807;283.2814;1149.3041;-26.5379;318.5154;1470.2843
13.8904;191.8760;911.6656;4.7508;283.2496;1149.3377;-26.4880;318.5117;1470.3088
14.1870;191.7577;911.7126;4.9017;283.2496;1149.3607;-26.3855;318.5077;1470.3125
14.4770;191.6405;911.7942;5.0467;283.2496;1149.4355;-26.3032;318.4428;1470.3665
14.8130;191.5269;911.8572;5.2075;283.2496;1149.5030;-26.2837;318.3769;1470.3990
15.1818;191.4033;911.9078;5.3347;283.2496;1149.5671;-26.2837;318.2462;1470.4412
15.5543;191.2615;911.9751;5.4414;283.2329;1149.6162;-26.2837;318.0986;1470.4882
15.9221;191.1227;912.0610;5.5720;283.1884;1149.6503;-26.3258;317.9664;1470.5119
16.3124;190.9689;912.1523;5.7110;283.1439;1149.6789;-26.3258;317.8479;1470.5390
16.7276;190.7826;912.2133;5.8575;283.0906;1149.7071;-26.3258;317.7436;1470.5702
17.1618;190.6219;912.3209;5.9878;283.0588;1149.7329;-26.3246;317.6642;1470.6185
17.6315;190.4508;912.4470;6.1325;283.0230;1149.7628;-26.3246;317.5732;1470.6658
18.1297;190.2553;912.5611;6.2863;282.9857;1149.8008;-26.3246;317.4832;1470.7044
18.6290;190.0581;912.7118;6.4392;282.9545;1149.8475;-26.3611;317.4008;1470.7296
19.1560;189.8196;912.8646;6.7019;282.8385;1150.0558;-26.6112;317.2334;1470.7301
