RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-375.5685;146.0309;836.4717;-388.8025;234.8863;1037.6762;-394.0359;246.9568;1298.0303
-375.5714;145.9969;836.3946;-388.8061;234.7749;1037.6222;-394.0729;246.6654;1298.0026
-375.5713;145.9498;836.3188;-388.8104;234.6530;1037.5707;-394.0919;246.3614;1297.9753
-375.5727;145.8942;836.2492;-388.8170;234.5228;1037.5226;-394.1013;246.0525;1297.9490
-375.5749;145.8274;836.1823;-388.8247;234.3864;1037.4774;-394.1090;245.7487;1297.9238
-375.5753;145.7474;836.1171;-388.8353;234.2450;1037.4368;-394.1242;245.4576;1297.9016
-375.5726;145.6581;836.0564;-388.8478;234.0990;1037.3980;-394.1489;245.1879;1297.8804
-375.5730;145.5578;835.9931;-388.8649;233.9476;1037.3627;-394.1792;244.9384;1297.8580
-375.5723;145.4509;835.9370;-388.9127;233.7883;1037.3461;-394.1779;244.6965;1297.8293
-375.5672;145.3371;835.8883;-388.9645;233.6278;1037.3330;-394.1824;244.4714;1297.7987
-375.5614;145.2160;835.8383;-389.0191;233.4635;1037.3193;-394.1934;244.2599;1297.7676
-375.5487;145.0908;835.7938;-389.0775;233.2999;1037.3102;-394.2059;244.0571;1297.7359
-375.5287;144.9632;835.7555;-389.1388;233.1346;1037.3043;-394.2200;243.8632;1297.7034
-375.5058;144.8367;835.7231;-389.2009;232.9683;1037.2997;-394.2405;243.6779;1297.6726
-375.4771;144.7100;835.6932;-389.2625;232.8009;1037.2979;-394.2644;243.4963;1297.6454
-375.4443;144.5867;835.6692;-389.3215;232.6359;1037.2969;-394.2967;243.3199;1297.6224
-375.4072;144.4628;835.6436;-389.3765;232.4748;1037.2985;-394.3344;243.1406;1297.6056
-375.3709;144.3401;835.6200;-389.4300;232.3117;1037.3035;-394.3652;242.9544;1297.5943
-375.3302;144.2202;835.6060;-389.4786;232.1487;1037.3077;-394.3866;242.7588;1297.5866
-375.2928;144.0983;835.5881;-389.5228;231.9856;1037.3164;-394.3926;242.5473;1297.5847
-375.2479;143.9786;835.5830;-389.5614;231.8252;1037.3274;-394.3862;242.3248;1297.5886
-375.2024;143.8563;835.5752;-389.5948;231.6649;1037.3418;-394.3631;242.0912;1297.5961
-375.1581;143.7356;835.5696;-389.6220;231.5050;1037.3564;-394.3284;241.8510;1297.6083
-375.1117;143.6165;835.5689;-389.6438;231.3479;1037.3706;-394.2835;241.6104;1297.6232
-375.0641;143.4980;835.5681;-389.6618;231.1923;1037.3841;-394.2347;241.3776;1297.6386
-375.0148;143.3812;835.5656;-389.6744;231.0398;1037.3957;-394.1867;241.1578;1297.6531
-374.9621;143.2653;835.5596;-389.6785;230.8936;1037.4051;-394.1505;240.9539;1297.6685
-374.9065;143.1547;835.5545;-389.6802;230.7507;1037.4139;-394.1163;240.7652;1297.6805
-374.8480;143.0476;835.5460;-389.6775;230.6115;1037.4220;-394.0836;240.5893;1297.6907
-374.7852;142.9450;835.5370;-389.6675;230.4769;1037.4274;-394.0519;240.4277;1297.6976
-374.7136;142.8456;835.5281;-389.6507;230.3473;1037.4305;-394.0157;240.2729;1297.7010
-374.6385;142.7483;835.5143;-389.6259;230.2249;1037.4341;-393.9729;240.1227;1297.7030
-374.5539;142.6578;835.5083;-389.5927;230.1070;1037.4339;-393.9247;239.9768;1297.7037
-374.4653;142.5714;835.4986;-389.5520;229.9948;1037.4325;-393.8712;239.8383;1297.7025
-374.3647;142.4894;835.4951;-389.5035;229.8884;1037.4287;-393.8158;239.7091;1297.7013
-374.2545;142.4121;835.4955;-389.4484;229.7875;1037.4257;-393.7631;239.5951;1297.6991
-374.1394;142.3379;835.4911;-389.3853;229.6935;1037.4253;-393.7157;239.4980;1297.6967
-374.0195;142.2684;835.4877;-389.3154;229.6042;1037.4279;-393.6666;239.4140;1297.6930
-373.8976;142.2058;835.4876;-389.2407;229.5185;1037.4332;-393.6120;239.3393;1297.6892
-373.7706;142.1492;835.4907;-389.1650;229.4350;1037.4426;-393.5436;239.2685;1297.6853
-373.6426;142.0966;835.4949;-389.0832;229.3557;1037.4533;-393.4681;239.1983;1297.6836
-373.5138;142.0473;835.4990;-388.9989;229.2791;1037.4658;-393.3831;239.1223;1297.6851
-373.3831;142.0012;835.5049;-388.9143;229.2036;1037.4817;-393.2851;239.0365;1297.6907
-373.2527;141.9606;835.5124;-388.8281;229.1334;1037.4996;-393.1825;238.9449;1297.7009
-373.1213;141.9237;835.5236;-388.7423;229.0660;1037.5200;-393.0779;238.8497;1297.7152
-372.9917;141.8888;835.5337;-388.6569;229.0035;1037.5416;-392.9770;238.7555;1297.7319
-372.8638;141.8578;835.5496;-388.5745;228.9429;1037.5669;-392.8753;238.6589;1297.7513
-372.7460;141.8318;835.5669;-388.4872;228.8892;1037.5916;-392.7882;238.5654;1297.7757
-372.6381;141.8061;835.5808;-388.4040;228.8381;1037.6193;-392.6965;238.4667;1297.8017
-372.5437;141.7851;835.5991;-388.3283;228.7850;1037.6498;-392.5932;238.3621;1297.8286
-372.4598;141.7669;835.6217;-388.2560;228.7319;1037.6795;-392.4864;238.2532;1297.8579
-372.3837;141.7465;835.6445;-388.1873;228.6790;1037.7103;-392.3784;238.1429;1297.8895
-372.3225;141.7276;835.6675;-388.1228;228.6250;1037.7423;-392.2685;238.0333;1297.9213
-372.2728;141.7082;835.6927;-388.0610;228.5737;1037.7754;-392.1622;237.9276;1297.9547
-372.2382;141.6893;835.7210;-388.0023;228.5250;1037.8103;-392.0629;237.8278;1297.9901
-372.2168;141.6684;835.7509;-387.9460;228.4789;1037.8459;-391.9732;237.7394;1298.0259
-372.2101;141.6441;835.7799;-387.8957;228.4333;1037.8838;-391.8841;237.6569;1298.0623
-372.2160;141.6182;835.8087;-387.8496;228.3895;1037.9220;-391.7956;237.5791;1298.0985
-372.2330;141.5899;835.8386;-387.8119;228.3457;1037.9631;-391.6997;237.5023;1298.1354
-372.2597;141.5601;835.8701;-387.7790;228.3030;1038.0060;-391.6008;237.4266;1298.1748
-372.2943;141.5277;835.9017;-387.7597;228.2563;1038.0548;-391.4868;237.3522;1298.2135
-372.3348;141.4971;835.9388;-387.7431;228.2118;1038.1039;-391.3800;237.2892;1298.2546
-372.3755;141.4634;835.9784;-387.7269;228.1727;1038.1529;-391.2898;237.2408;1298.2997
-372.4201;141.4299;836.0183;-387.7140;228.1397;1038.2038;-391.2127;237.2063;1298.3478
-372.4677;141.3987;836.0610;-387.7029;228.1120;1038.2572;-391.1477;237.1843;1298.3987
-372.5145;141.3687;836.1068;-387.6943;228.0913;1038.3129;-391.0883;237.1705;1298.4529
-372.5604;141.3425;836.1618;-387.6906;228.0729;1038.3734;-391.0242;237.1593;1298.5096
-372.6072;141.3200;836.2175;-387.6880;228.0575;1038.4349;-390.9529;237.1479;1298.5692
-372.6535;141.3025;836.2752;-387.6871;228.0443;1038.4988;-390.8693;237.1324;1298.6307
-372.7075;141.2897;836.3318;-387.6872;228.0336;1038.5646;-390.7649;237.1152;1298.6903
-372.7590;141.2846;836.3917;-387.6864;228.0274;1038.6323;-390.6580;237.0987;1298.7534
-372.8100;141.2888;836.4542;-387.6804;228.0263;1038.6990;-390.5577;237.0872;1298.8192
-372.8568;141.3016;836.5174;-387.6746;228.0295;1038.7679;-390.4580;237.0794;1298.8860
-372.9011;141.3241;836.5825;-387.6629;228.0410;1038.8370;-390.3688;237.0769;1298.9562
-372.9405;141.3525;836.6427;-387.6497;228.0552;1038.9076;-390.2761;237.0733;1299.0287
-372.9764;141.4035;836.7259;-387.6334;228.0750;1038.9806;-390.1784;237.0638;1299.1030
-373.0121;141.4619;836.8079;-387.6144;228.0968;1039.0546;-390.0700;237.0481;1299.1781
-373.0556;141.5301;836.8902;-387.5946;228.1199;1039.1303;-389.9437;237.0195;1299.2541
-373.0945;141.6043;836.9717;-387.5692;228.1433;1039.2051;-389.8057;236.9791;1299.3305
-373.1257;141.6827;837.0453;-387.5422;228.1658;1039.2802;-389.6542;236.9287;1299.4062
-373.1463;141.7667;837.1192;-387.5112;228.1908;1039.3557;-389.5018;236.8730;1299.4816
-373.1587;141.8527;837.1903;-387.4742;228.2161;1039.4288;-389.3538;236.8170;1299.5561
-373.1527;141.9444;837.2631;-387.4314;228.2420;1039.5003;-389.2234;236.7619;1299.6329
-373.1396;142.0381;837.3342;-387.3849;228.2671;1039.5723;-389.0960;236.7083;1299.7070
-373.1164;142.1309;837.4025;-387.3342;228.2903;1039.6451;-388.9685;236.6535;1299.7783
-373.0888;142.2202;837.4657;-387.2743;228.3129;1039.7144;-388.8471;236.5994;1299.8477
-373.0555;142.3070;837.5284;-387.2096;228.3291;1039.7817;-388.7191;236.5387;1299.9145
-373.0167;142.3911;837.5915;-387.1396;228.3417;1039.8474;-388.5892;236.4722;1299.9782
-372.9705;142.4594;837.6333;-387.0663;228.3475;1039.9119;-388.4513;236.3983;1300.0399
-372.9141;142.5234;837.6752;-386.9872;228.3483;1039.9753;-388.3111;236.3167;1300.1020
-372.8399;142.5813;837.7172;-386.9043;228.3452;1040.0377;-388.1755;236.2318;1300.1653
-372.7597;142.6334;837.7570;-386.8207;228.3390;1040.1027;-388.0459;236.1470;1300.2320
-372.6773;142.6828;837.7987;-386.7318;228.3306;1040.1668;-387.9276;236.0636;1300.3035
-372.5918;142.7281;837.8401;-386.6388;228.3202;1040.2331;-387.8161;235.9803;1300.3811
-372.5019;142.7728;837.8841;-386.5449;228.3089;1040.3048;-387.7086;235.8952;1300.4663
-372.4087;142.8149;837.9304;-386.4501;228.2951;1040.3830;-387.5960;235.8040;1300.5611
-372.3131;142.8560;837.9776;-386.3528;228.2808;1040.4706;-387.4811;235.7002;1300.6668
-372.2173;142.9003;838.0295;-386.2560;228.2669;1040.5702;-387.3559;235.5805;1300.7847
-372.1229;142.9488;838.0865;-386.1583;228.2521;1040.6798;-387.2188;235.4388;1300.9156
-372.0255;143.0025;838.1515;-386.0633;228.2381;1040.8041;-387.0614;235.2719;1301.0601
-371.9292;143.0627;838.2271;-385.9647;228.2267;1040.9386;-386.8951;235.0759;1301.2209
-371.8353;143.1280;838.3085;-385.8658;228.2165;1041.0856;-386.7176;234.8544;1301.3957
-371.7446;143.2016;838.4002;-385.7671;228.2122;1041.2452;-386.5320;234.6080;1301.5832
-371.6584;143.2813;838.4979;-385.6664;228.2099;1041.4117;-386.3376;234.3455;1301.7810
-371.5803;143.3680;838.6002;-385.5635;228.2078;1041.5803;-386.1396;234.0620;1301.9850
-371.5078;143.4575;838.6999;-385.4521;228.2100;1041.7462;-385.9526;233.7692;1302.1921
-371.4426;143.5490;838.7976;-385.3441;228.2094;1041.9107;-385.7556;233.4650;1302.3939
-371.3872;143.6416;838.8909;-385.2397;228.2064;1042.0711;-385.5484;233.1476;1302.5867
-371.3443;143.7319;838.9761;-385.1383;228.2032;1042.2217;-385.3392;232.8271;1302.7649
-371.3118;143.8159;839.0531;-385.0380;228.1994;1042.3531;-385.1304;232.5023;1302.9281
-371.2886;143.8911;839.1202;-384.9376;228.1979;1042.4634;-384.9288;232.1829;1303.0725
-371.2744;143.9541;839.1743;-384.8501;228.1953;1042.5557;-384.7230;231.8725;1303.1922
-371.2736;144.0006;839.2086;-384.7669;228.1991;1042.6200;-384.5371;231.5838;1303.2854
-371.2811;144.0254;839.2263;-384.6916;228.2102;1042.6567;-384.3686;231.3272;1303.3484
-371.2941;144.0245;839.2283;-384.6240;228.2315;1042.6614;-384.2208;231.1091;1303.3768
-371.3067;143.9897;839.2119;-384.5682;228.2606;1042.6331;-384.0871;230.9302;1303.3705
-371.3212;143.9194;839.1813;-384.5276;228.3030;1042.5783;-383.9657;230.7853;1303.3289
-371.3310;143.8174;839.1421;-384.5051;228.3528;1042.4943;-383.8453;230.6802;1303.2520
-371.3067;143.6806;839.1818;-384.5228;228.4098;1042.3958;-383.6986;230.5934;1303.1423
-371.2659;143.4964;839.2276;-384.5702;228.4751;1042.2738;-383.5517;230.5355;1303.0045
-371.2045;143.2573;839.2858;-384.6642;228.5493;1042.1336;-383.3962;230.5041;1302.8406
-371.1182;142.9602;839.3729;-384.7973;228.6422;1041.9770;-383.2610;230.5028;1302.6634
-371.0013;142.5892;839.5081;-384.9681;228.7536;1041.8025;-383.1616;230.5513;1302.4761
-370.8543;142.1346;839.7020;-385.2016;228.8841;1041.6319;-383.0808;230.6299;1302.2855
-370.6770;141.5862;839.9598;-385.4875;229.0356;1041.4599;-383.0300;230.7435;1302.0999
-370.4460;140.9249;840.3064;-385.8468;229.1979;1041.2986;-382.9997;230.8757;1301.9290
-370.1548;140.1292;840.7431;-386.2974;229.3654;1041.1622;-382.9683;231.0213;1301.7739
-369.8064;139.1850;841.2884;-386.8473;229.5247;1041.0575;-382.9309;231.1751;1301.6397
-369.3964;138.0601;841.9637;-387.4977;229.6707;1040.9896;-382.9009;231.3382;1301.5353
-368.9295;136.7312;842.8111;-388.2560;229.7897;1040.9625;-382.8891;231.5186;1301.4631
-368.4056;135.1524;843.8428;-389.1211;229.8817;1040.9807;-382.9047;231.7258;1301.4324
-367.8610;133.2945;845.0012;-390.0862;229.9312;1041.0410;-382.9638;231.9641;1301.4506
-367.2606;131.1198;846.3962;-391.1496;229.9329;1041.1489;-383.0696;232.2277;1301.5263
-366.6021;128.6006;848.0527;-392.2943;229.8712;1041.3093;-383.2148;232.5020;1301.6626
-365.8780;125.6944;850.0030;-393.5323;229.7255;1041.5319;-383.3683;232.7659;1301.8536
-365.0984;122.3856;852.2658;-394.8649;229.4688;1041.8252;-383.4962;232.9998;1302.0880
-364.2153;118.6074;854.8909;-396.2712;229.0677;1042.1712;-383.5903;233.1937;1302.3632
-363.2594;114.3647;857.9089;-397.7517;228.5108;1042.5836;-383.6450;233.3402;1302.6727
-362.2575;109.6607;861.3299;-399.2807;227.7761;1043.0580;-383.6698;233.4524;1303.0166
-361.2245;104.4963;865.1900;-400.8460;226.8377;1043.5898;-383.6662;233.5397;1303.3872
-360.1305;98.8305;869.5354;-402.4267;225.6890;1044.1774;-383.6648;233.6177;1303.7932
-358.9897;92.6712;874.3470;-404.0186;224.2899;1044.8359;-383.6643;233.7337;1304.2145
-357.8027;86.0465;879.6617;-405.5995;222.6241;1045.5534;-383.6367;233.8412;1304.6567
-356.5709;78.9695;885.5027;-407.1688;220.6677;1046.3540;-383.5653;233.9413;1305.1053
-355.2952;71.4680;891.9115;-408.6852;218.3854;1047.2229;-383.4632;234.0550;1305.5576
-353.9890;63.5410;898.8456;-410.1348;215.7554;1048.1715;-383.3099;234.1624;1306.0160
-352.6558;55.2000;906.3145;-411.4979;212.7673;1049.2076;-383.1411;234.3034;1306.4799
-351.2992;46.5746;914.3596;-412.7622;209.3533;1050.3287;-382.9419;234.4683;1306.9481
-349.9266;37.6246;922.9720;-413.9229;205.5279;1051.5706;-382.7075;234.6479;1307.4281
-348.5854;28.4805;932.1474;-414.9599;201.2867;1052.9495;-382.4515;234.8553;1307.9116
-347.2512;19.1020;941.8919;-415.8710;196.5991;1054.4830;-382.1776;235.0992;1308.3901
-345.9312;9.5030;952.2305;-416.6507;191.4540;1056.1940;-381.8748;235.3697;1308.8540
-344.5591;0.0494;963.0722;-417.2701;185.8552;1058.0991;-381.5642;235.6651;1309.3047
-343.2062;-9.5469;974.3653;-417.7040;179.7928;1060.2114;-381.2440;235.9848;1309.7362
-341.8516;-19.1737;986.1165;-417.9458;173.2987;1062.5447;-380.8780;236.2429;1310.1728
-340.4896;-28.8177;998.2569;-418.0078;166.3962;1065.1468;-380.4998;236.4910;1310.6077
-339.1253;-38.4504;1010.7633;-417.8755;159.1166;1068.0185;-380.1116;236.7018;1311.0552
-337.7473;-48.0590;1023.5563;-417.5566;151.4949;1071.2021;-379.6952;236.8600;1311.4978
-336.3638;-57.5515;1036.6625;-417.0595;143.5792;1074.7034;-379.2465;236.9665;1311.9343
-334.9699;-66.8815;1050.0306;-416.3773;135.3801;1078.5428;-378.7484;236.9839;1312.3664
-333.5758;-76.0465;1063.6005;-415.5051;126.9841;1082.7449;-378.2052;236.9118;1312.7929
-332.1741;-85.0450;1077.3125;-414.4398;118.4162;1087.2972;-377.6248;236.7410;1313.2249
-330.7355;-93.9174;1091.0762;-413.1718;109.7245;1092.1971;-377.0131;236.4619;1313.6828
-329.1211;-102.5526;1104.9318;-411.7076;100.9919;1097.4289;-376.3527;236.0381;1314.2059
-327.4422;-110.8803;1118.7054;-410.0004;92.2394;1102.9972;-375.7083;235.5481;1314.7335
-325.7705;-119.2551;1132.4194;-408.1113;83.5426;1108.9064;-375.0033;234.9255;1315.3156
-324.0714;-127.3321;1146.0230;-406.0455;74.9504;1115.1297;-374.2299;234.1495;1315.9695
-322.3496;-135.1415;1159.4816;-403.7873;66.4947;1121.6354;-373.4230;233.2585;1316.6898
-320.5674;-142.7305;1172.7516;-401.3216;58.2016;1128.3880;-372.5753;232.2506;1317.4715
-318.7449;-150.0410;1185.7882;-398.6268;50.0993;1135.3318;-371.7452;231.1661;1318.2952
-316.8663;-157.0688;1198.5692;-395.8001;42.2321;1142.4830;-370.8110;229.9226;1319.2485
-314.9443;-163.8409;1211.0089;-392.8264;34.5721;1149.8473;-369.8500;228.5866;1320.2516
-312.9414;-170.3464;1223.1329;-389.7327;27.1735;1157.3555;-368.8259;227.1329;1321.3376
-310.8554;-176.6148;1234.8813;-386.5896;20.0543;1165.0124;-367.6869;225.5450;1322.5299
-308.6775;-182.5935;1246.2153;-383.3161;13.2495;1172.7231;-366.5619;223.9031;1323.7666
-306.4313;-188.2517;1257.1638;-379.9195;6.7839;1180.4380;-365.4916;222.2471;1325.0235
-304.2666;-193.6291;1267.5836;-376.4245;0.6454;1188.1407;-364.4533;220.5902;1326.3329
-302.0444;-198.7788;1277.5647;-372.8578;-5.0826;1195.7590;-363.4500;218.9052;1327.7075
-299.7443;-203.7084;1287.1103;-369.2282;-10.4929;1203.3025;-362.5139;217.2451;1329.1074
-297.3421;-208.3865;1296.2419;-365.5760;-15.6120;1210.7560;-361.6129;215.6100;1330.5325
-294.8608;-212.8558;1304.9303;-361.9066;-20.3965;1218.0783;-360.7604;214.0111;1331.9594
-292.3284;-217.0477;1313.1654;-358.2455;-24.8500;1225.2509;-359.9462;212.4338;1333.3840
-289.7191;-221.0047;1320.9405;-354.6484;-28.9725;1232.2834;-359.1114;210.8450;1334.8087
-287.0430;-224.6998;1328.2653;-351.0332;-32.7703;1239.0693;-358.4021;209.3294;1336.1585
-284.2762;-228.1138;1335.1627;-347.4474;-36.2040;1245.5754;-357.7362;207.8410;1337.5027
-281.4706;-231.2554;1341.5712;-343.8889;-39.2977;1251.7836;-357.1754;206.4370;1338.8014
-278.6216;-234.1660;1347.5086;-340.3172;-42.0655;1257.6531;-356.7798;205.1718;1340.0352
-275.7531;-236.8383;1353.0141;-336.8525;-44.5369;1263.2268;-356.3913;204.0019;1341.2834
-272.8731;-239.2503;1358.0575;-333.5022;-46.7226;1268.4737;-356.0389;202.9365;1342.5015
-269.9740;-241.4288;1362.6944;-330.2200;-48.6491;1273.3524;-355.7640;202.0064;1343.6489
-267.0818;-243.3536;1366.9226;-327.0923;-50.3567;1277.9088;-355.4597;201.1611;1344.7294
-264.2162;-244.9759;1370.7321;-324.0889;-51.7867;1282.0549;-355.1566;200.4049;1345.7344
-261.4007;-246.3168;1374.1211;-321.2152;-52.9114;1285.7977;-354.8610;199.7386;1346.6323
-258.6274;-247.3577;1377.1181;-318.5238;-53.7937;1289.1802;-354.5247;199.1471;1347.4094
-255.9268;-248.1371;1379.7358;-316.0168;-54.4318;1292.1807;-354.2132;198.6545;1348.0329
-253.3283;-248.6700;1381.9761;-313.6832;-54.8365;1294.7905;-353.9826;198.2945;1348.4813
-250.8749;-248.9950;1383.8696;-311.5441;-55.0302;1297.0377;-353.8551;198.0938;1348.7250
-248.6223;-249.0911;1385.4151;-309.5963;-55.0346;1298.9167;-353.8470;198.0748;1348.7949
-246.3663;-249.0338;1386.7951;-307.7260;-54.9069;1300.5671;-353.7351;198.0996;1348.8208
-244.1103;-248.9766;1388.1751;-305.8557;-54.7792;1302.2176;-353.6233;198.1244;1348.8467
-241.8543;-248.9194;1389.5550;-303.9854;-54.6515;1303.8680;-353.5114;198.1491;1348.8726
-239.5982;-248.8621;1390.9350;-302.1151;-54.5238;1305.5185;-353.3995;198.1739;1348.8985
-237.3422;-248.8049;1392.3150;-300.2448;-54.3962;1307.1689;-353.2877;198.1987;1348.9244
-235.0862;-248.7476;1393.6949;-298.3745;-54.2685;1308.8194;-353.1758;198.2235;1348.9503
