15 NaN-values in right hand
0.0000;0.0000;0.0000;-13.2442;87.5106;239.1092;-46.9826;117.4434;559.1851
-0.0834;-0.3278;0.0264;-12.9499;87.1552;239.2687;-47.2431;117.4650;559.3694
-0.1397;-0.6701;0.0343;-12.6641;86.7881;239.3795;-47.3840;117.4155;559.5776
-0.2078;-1.0314;0.0181;-12.4301;86.5122;239.5234;-47.6065;117.3581;559.7870
-0.2724;-1.3613;0.0551;-12.1729;86.2297;239.6706;-47.7906;117.3334;559.9803
-0.3523;-1.7007;0.0882;-11.9379;85.9713;239.8312;-47.9053;117.2930;560.1663
-0.4367;-2.0388;0.1240;-11.7225;85.7445;240.0032;-48.0917;117.3356;560.3210
-0.5207;-2.3705;0.1545;-11.5510;85.5861;240.2124;-48.1952;117.3025;560.5134
-0.6259;-2.7389;0.1849;-11.3733;85.4211;240.4079;-48.2967;117.2733;560.6523
-0.7356;-3.0792;0.2071;-11.2117;85.2917;240.6088;-48.3875;117.1967;560.8301
-0.8876;-3.4538;0.2200;-10.9950;85.1153;240.8303;-48.5016;117.1612;560.9740
-1.0460;-3.8401;0.2246;-10.7551;84.9180;241.0672;-48.6174;117.1810;561.1044
-1.2390;-4.2170;0.1392;-10.5470;84.7408;241.2853;-48.6565;117.1568;561.2590
-1.3991;-4.5639;-0.0130;-10.3816;84.5917;241.4921;-48.7558;117.1239;561.4211
-1.5450;-4.9274;-0.0800;-10.2504;84.4673;241.7269;-48.8773;117.0805;561.5799
-1.7508;-5.2992;-0.1663;-10.1025;84.3370;241.9859;-49.0259;117.0515;561.7271
-1.9588;-5.6668;-0.1826;-9.9369;84.1998;242.2369;-49.2252;117.0094;561.9214
-2.1373;-6.0220;-0.1284;-9.7823;84.0676;242.4682;-49.3758;116.9425;562.1091
-2.3084;-6.3730;-0.0741;-9.6631;83.9690;242.7047;-49.5439;116.8587;562.3265
NaN;NaN;NaN;-9.5418;83.8609;242.9811;NaN;NaN;NaN
NaN;NaN;NaN;-9.4222;83.7521;243.2578;NaN;NaN;NaN
NaN;NaN;NaN;-9.3049;83.6443;243.5277;NaN;NaN;NaN
NaN;NaN;NaN;-9.1858;83.5373;243.7971;NaN;NaN;NaN
NaN;NaN;NaN;-9.0384;83.3776;244.0490;NaN;NaN;NaN
-3.7073;-8.5313;0.2109;-8.8858;83.2084;244.3055;-50.6554;116.3911;563.6028
-3.9577;-8.8708;0.2517;-8.7609;83.0815;244.5704;-50.8242;116.2796;563.8423
-4.2173;-9.2435;0.3419;-8.6188;82.9488;244.8520;-51.0356;116.2144;564.0263
-4.4775;-9.6306;0.4158;-8.4994;82.8341;245.1563;-51.2612;116.1085;564.2546
-4.7594;-10.0171;0.4709;-8.3644;82.7134;245.4724;-51.3683;115.9724;564.5390
-5.0593;-10.3966;0.5453;-8.2420;82.6190;245.7772;-51.6788;115.8381;564.7324
-5.3265;-10.7686;0.5996;-8.1022;82.5074;246.1132;-51.8507;115.7156;565.0599
-5.6103;-11.1524;0.6476;-7.9680;82.4046;246.4739;-52.0587;115.6215;565.2126
-5.9104;-11.5720;0.7174;-7.8337;82.2943;246.7925;-52.2847;115.5119;565.3758
-6.1887;-11.9864;0.7867;-7.6963;82.2025;247.1300;-52.4776;115.4524;565.4799
-6.4487;-12.3987;0.8585;-7.1026;81.7951;247.5979;-52.5858;115.5538;565.6618
-6.7435;-12.8028;0.9212;-6.5790;81.5196;248.0058;-52.6312;115.5431;565.7192
-7.0314;-13.2477;1.0025;-6.3287;81.4886;248.3815;-52.8295;115.5328;565.8815
-7.3155;-13.6821;1.0795;-5.9256;81.2720;248.7579;-52.9683;115.5621;565.9877
-7.5651;-14.1096;1.1523;-5.6875;81.2073;249.1473;-53.3103;115.5393;566.1349
-7.8452;-14.5596;1.2297;-5.5043;81.1392;249.5283;-53.6242;115.5799;566.2640
-8.1387;-15.0225;1.3128;-5.1003;80.8885;249.9365;-53.7072;115.5489;566.3056
-8.3789;-15.4834;1.4236;-4.7601;80.7086;250.3425;-53.9764;115.7417;566.4141
-8.6568;-15.9312;1.5035;-4.4397;80.5561;250.7561;-54.2309;115.8545;566.4756
-8.9534;-16.4291;1.6133;-4.1359;80.4468;251.1995;-54.3425;115.8551;566.5666
-9.2607;-16.9395;1.7402;-3.8789;80.3167;251.6542;-54.5373;115.9545;566.6127
-9.4642;-17.4896;1.9315;-3.6156;80.2250;252.1189;-54.7021;115.9892;566.7207
-9.7214;-18.0291;2.0990;-3.3510;80.1494;252.6039;-54.8373;115.8846;566.9280
-9.9870;-18.5669;2.2636;-3.0871;80.0708;253.0847;-55.1375;115.9741;567.0378
-10.2603;-19.0802;2.4240;-2.8098;80.0099;253.5820;-55.3872;116.0320;567.1737
-10.5709;-19.6021;2.5879;-2.5230;79.9775;254.0947;-55.6086;116.0118;567.4100
-10.8623;-20.1304;2.7380;-2.2139;79.9146;254.5927;-55.8873;116.1208;567.5471
-11.1603;-20.6391;2.9119;-1.8952;79.8636;255.1221;-56.1379;116.0938;567.7485
-11.4739;-21.1390;3.0723;-1.5963;79.7893;255.6636;-56.4413;116.0783;567.9831
-11.8321;-21.6586;3.2493;-1.2800;79.7191;256.2199;-56.6207;116.0112;568.3287
-12.1515;-22.1810;3.4553;-0.9454;79.6244;256.7794;-57.1023;116.1790;568.4747
-12.4811;-22.6812;3.6480;-0.6248;79.5864;257.3505;-57.4904;116.1824;568.7089
-12.8202;-23.1963;3.8393;-0.2857;79.4700;257.9540;-57.8462;116.1477;568.9826
-13.1564;-23.7141;4.0293;0.0726;79.4359;258.5757;-58.1221;116.0790;569.3376
-13.5291;-24.2343;4.2128;0.2970;79.3522;259.1927;-58.5096;115.9280;569.6573
-13.8839;-24.7243;4.4137;0.6433;79.2028;259.8365;-58.9249;115.8590;569.9638
-14.2634;-25.2280;4.6423;0.9435;79.0671;260.4874;-59.2909;115.6041;570.4767
-14.6417;-25.7281;4.8471;1.3365;78.9169;261.1794;-59.5417;115.4350;570.8465
-15.0707;-26.2488;5.0101;1.5908;78.7746;261.8647;-59.9858;115.2735;571.1209
-15.5072;-26.7640;5.1904;1.8905;78.5206;262.5933;-60.2559;115.0369;571.6782
-15.8389;-27.2802;5.5549;2.1184;78.3909;263.3330;-60.6322;114.8038;572.1074
-16.2305;-27.8406;5.7951;2.3626;78.3367;264.0406;-61.0653;114.4745;572.6354
-16.6880;-28.4168;5.9855;2.6781;77.9451;264.7825;-61.4492;114.2240;573.0538
-17.1506;-28.9798;6.1634;3.0266;77.5932;265.5791;-61.6212;113.9936;573.4309
-17.5952;-29.7017;6.3849;3.2015;77.5914;266.3270;-61.9052;113.4995;574.0210
-18.0721;-30.3637;6.5959;3.5037;77.2081;267.1930;-61.9604;113.2134;574.3776
-18.6189;-30.9955;6.7767;3.7083;76.9208;267.9563;-62.2110;112.6696;575.0364
-19.1844;-31.6576;6.9307;3.9449;76.8647;268.8038;-62.2986;112.2034;575.5933
-19.7397;-32.3291;7.1680;4.4278;76.0458;269.5714;-62.6808;111.9739;575.9247
-20.2410;-32.9594;7.4133;4.6145;76.0597;270.4375;-62.7500;111.4087;576.5885
-20.7688;-33.7084;7.5590;5.0500;75.2964;271.2078;-63.0470;111.1468;576.9916
-21.3476;-34.4273;7.6974;5.2671;75.2848;272.0612;-63.1793;110.5555;577.7235
-21.9048;-35.1468;7.8064;5.5338;74.7625;272.8391;-63.4725;110.1053;578.3787
-22.4879;-35.9291;7.8959;5.8956;74.1954;273.6839;-63.7042;109.8151;578.8492
-23.0768;-36.7404;7.9822;6.2456;73.8346;274.4767;-63.9892;109.3345;579.5609
-23.6863;-37.6032;8.0654;6.6224;73.3937;275.2981;-64.2283;108.9596;580.1105
-24.2848;-38.4838;8.1710;6.8969;73.0039;276.0918;-64.5018;108.4434;580.8617
-24.8871;-39.4117;8.2982;7.2707;72.6222;276.8798;-64.7384;108.0956;581.5443
-25.5150;-40.2900;8.3864;7.6250;72.2884;277.6785;-65.0967;107.7358;582.2114
-26.1641;-41.2430;8.4678;8.2291;71.4500;278.5063;-65.3516;107.5138;582.6147
-26.8128;-42.2197;8.5533;8.9787;70.9586;279.2846;-65.4936;107.3310;583.0776
-27.4709;-43.1728;8.6275;9.4709;70.3245;280.0178;-66.0285;107.4965;583.2224
-28.1443;-44.1801;8.7026;10.1189;69.9902;280.7992;-66.2283;107.3549;583.5950
-28.8290;-45.1588;8.7609;10.6285;69.4169;281.4723;-66.4703;107.1450;584.0085
-29.4980;-46.1295;8.8431;11.0442;69.1147;282.2581;-66.5995;106.9400;584.4146
-30.1818;-47.1111;8.8513;11.4449;68.6447;282.9902;-66.7488;106.7805;584.7135
-30.9110;-48.0718;8.9030;11.8082;68.3112;283.8256;-66.8167;106.4479;585.0228
-31.6302;-48.9942;8.9119;11.9294;68.1203;284.5613;-66.8389;106.0416;585.4373
-32.3956;-49.8906;8.8334;12.3305;67.5522;285.4033;-66.8245;105.7672;585.6094
-33.2341;-50.7606;8.6916;12.4279;67.1449;286.2210;-66.8154;105.3581;585.8069
-34.1337;-51.5638;8.4913;12.4309;66.8364;287.1466;-66.6121;104.9999;585.8281
-35.0053;-52.3461;8.3700;12.2507;66.5773;288.0894;-66.2692;104.4966;585.8101
-35.9573;-53.0391;8.1505;12.3589;65.7582;289.0527;-65.8594;104.1563;585.8171
-36.9753;-53.6708;7.9629;12.0254;65.5902;290.1262;-64.9516;103.5412;585.6233
-38.0050;-54.2642;7.7696;11.8891;65.3143;291.2890;-63.7867;102.8582;585.4180
-39.1519;-54.8009;7.5410;11.6708;64.7289;292.4604;-62.7760;102.1063;585.2468
-40.2932;-55.2997;7.4228;11.8272;63.5089;293.6283;-61.9141;101.4910;585.0520
-41.4506;-55.7470;7.4378;11.5931;63.0316;294.9159;-60.6215;100.4760;584.7310
-42.6495;-56.1337;7.6786;11.4123;62.2501;296.2601;-59.3849;99.6105;584.4101
-43.9353;-56.4662;8.1983;11.4360;60.9888;297.4515;-58.3796;98.9252;584.1878
-45.3820;-56.7019;8.8152;11.3087;59.9509;298.8810;-57.0170;98.0682;583.9186
-46.7671;-56.8355;9.7531;11.9371;58.0600;300.3539;-55.9058;97.6811;583.3849
-48.2087;-57.0215;10.9526;12.6779;56.4001;301.9224;-54.5980;97.2276;582.7607
-49.6151;-57.0767;12.5646;13.4393;54.6920;303.7186;-53.3224;96.7951;582.0565
-51.0381;-57.1816;14.5615;14.4635;53.3181;305.6652;-52.2591;96.1902;581.6469
-52.5076;-57.2256;16.8199;15.5489;52.2101;307.9541;-51.1909;95.5331;581.4442
-53.9832;-57.3446;19.1986;16.7110;51.0722;310.4942;-50.3753;94.9733;581.2620
-55.2566;-57.5962;22.1706;18.3901;50.0933;313.2010;-49.6409;94.3310;581.4080
