LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
0.0000;0.0000;0.0000;-39.3281;79.6355;192.4567;-57.7541;71.5845;457.5287
-0.0398;-0.0974;0.2135;-39.2416;79.6250;192.5263;-57.7590;71.4267;457.6524
0.0864;-0.1575;0.4948;-39.0972;79.5984;192.6345;-57.7757;71.3802;457.7198
0.1777;-0.2836;0.7942;-38.9376;79.5922;192.7648;-57.7766;71.3317;457.7663
0.5947;-0.4846;1.1441;-38.7747;79.5540;192.8644;-57.7766;71.2799;457.8593
0.6371;-0.5739;1.4433;-38.6294;79.5065;192.9284;-57.7766;71.1892;457.9235
0.6364;-0.7025;1.7922;-38.4995;79.4845;193.0087;-57.7438;71.0478;458.0053
0.5984;-0.7393;2.2196;-38.3728;79.4568;193.0429;-57.7410;70.8502;458.0853
0.8515;-0.8683;2.6965;-38.2060;79.4272;193.0828;-57.7410;70.5281;458.0853
1.1004;-1.0467;3.2708;-38.1183;79.1399;193.0991;-57.7438;70.2570;458.0853
1.0646;-1.1365;3.8566;-37.8469;79.0929;193.1489;-57.7815;69.8541;458.0832
1.2677;-1.2659;4.5740;-37.5283;79.0364;193.2170;-57.7815;69.5601;458.0162
1.3958;-1.4367;5.4553;-37.1026;78.9314;193.2909;-57.7815;69.5601;457.8988
1.3984;-1.7022;6.3804;-36.7343;78.8641;193.2909;-57.6802;69.5601;457.8391
1.7646;-1.8549;7.6297;-36.2839;78.7447;193.2909;-57.5552;69.5075;457.8271
1.4536;-2.0899;8.9841;-35.7546;78.5405;193.2929;-57.3853;69.5075;457.7743
1.8876;-2.5608;10.7146;-35.1828;78.3612;193.2797;-57.2613;69.5075;457.6676
2.0343;-2.9587;12.7544;-34.4982;78.1678;193.2797;-57.1492;68.9598;457.5933
2.1912;-3.4510;15.0917;-33.6035;77.8143;193.2940;-57.1170;67.9495;457.3979
2.4013;-4.1865;17.8016;-32.5214;77.4272;193.3389;-57.1170;66.7528;457.0023
2.4026;-4.9972;20.9021;-31.2749;76.8307;193.3646;-57.1492;65.6164;456.7957
2.6698;-5.9258;24.3953;-29.9491;76.1962;193.3646;-57.1840;64.7778;456.5424
2.8526;-7.0505;28.3198;-28.5378;75.3615;193.3646;-57.2139;64.3854;456.3036
3.0515;-8.3906;32.7687;-26.9293;74.3041;193.3753;-57.3013;64.3183;456.0411
3.3067;-10.0375;37.6787;-25.1998;73.1033;193.3753;-57.3747;64.2665;455.7785
3.5795;-11.9239;43.1770;-23.2486;71.6850;193.4360;-57.3747;64.1643;455.5147
3.9526;-14.3483;49.1497;-21.0124;70.0070;193.6372;-57.3747;63.9916;455.2235
4.4211;-17.0113;55.7166;-18.5501;67.9476;193.8527;-57.3076;63.9916;454.9363
4.8784;-19.9267;62.7826;-15.8692;65.6874;194.2574;-57.0323;63.9916;454.8155
5.4423;-23.3375;70.5077;-13.0813;63.0603;194.6745;-56.8294;64.8394;454.8000
6.3134;-27.0119;78.7004;-10.1696;60.0656;195.2326;-56.7195;64.9130;454.8000
7.2612;-31.1968;87.4823;-7.2133;56.8748;195.9222;-56.5741;66.1029;454.7770
8.4850;-35.8346;96.7789;-4.0349;53.1416;196.6338;-56.2389;66.9484;454.7770
9.7888;-40.7718;106.5559;-0.6252;49.1824;197.5999;-56.1616;67.2279;454.6291
11.5755;-46.0963;116.5645;3.0432;44.9923;198.9499;-56.1570;67.6369;454.3400
13.4564;-51.9589;127.0934;6.7027;40.4400;200.3819;-56.0556;67.7952;454.2221
15.5568;-58.0625;137.7989;10.3039;35.8142;202.1691;-55.8025;67.9285;454.2221
18.1803;-64.5940;148.6093;14.0589;30.5677;203.8613;-55.4852;68.3061;454.2221
20.7100;-71.7184;159.8007;17.8299;25.0388;205.8006;-54.8186;68.4363;454.6637
23.6248;-79.2610;171.0229;21.7386;19.4511;208.2104;-54.4417;68.4363;454.7223
27.3042;-86.8273;182.1596;25.5375;13.4139;210.5895;-53.8956;68.4363;454.9381
31.0234;-94.8323;193.4154;29.4278;7.4182;213.4163;-53.5425;68.0373;455.1296
35.0626;-102.9505;204.7010;33.3865;0.9949;216.2412;-52.8491;67.2290;455.4894
39.4840;-111.6843;215.7408;36.7469;-5.3386;218.9691;-51.9473;66.8435;455.7312
44.2123;-120.6300;226.7136;40.6385;-12.1636;222.2685;-51.1332;66.2964;455.8315
48.8074;-130.0525;238.2211;44.4011;-19.1106;225.7386;-50.2879;66.0551;455.8315
53.9368;-139.2924;248.9759;48.0660;-26.1855;229.4670;-49.4189;65.2430;455.8315
59.1222;-148.9160;259.9605;51.8501;-33.4507;233.4443;-48.5427;64.5071;455.8568
64.4502;-158.4775;270.7176;55.3930;-40.7897;237.5591;-47.5890;64.4613;455.9863
70.0848;-168.2424;281.3745;58.9698;-48.1262;242.2063;-46.7279;62.0588;455.9863
77.6277;-178.1480;292.0332;62.2447;-55.8165;246.7612;-45.7153;59.8204;456.5401
83.4115;-187.8777;302.0751;65.6264;-63.4574;251.9769;-45.0092;55.8220;457.6875
91.1901;-197.4138;313.1439;68.7194;-71.1325;257.1055;-44.1026;52.6058;458.8147
97.1039;-207.2816;322.4039;71.6001;-78.8068;262.4468;-43.2553;49.4346;459.7581
103.0969;-217.2211;331.3575;74.0544;-86.6042;267.6736;-42.1173;47.0960;460.7224
108.9319;-226.8161;339.9994;76.6077;-94.1741;273.3501;-41.3844;44.0041;461.7296
114.8181;-236.3508;348.1896;78.8616;-101.8986;279.0480;-40.4894;41.6394;462.5095
120.2467;-245.8609;356.2166;80.8174;-109.5880;284.6801;-39.6468;38.6104;463.8362
125.6421;-255.0832;363.7873;82.3558;-117.2424;290.1617;-38.6768;36.0983;465.2343
130.2744;-264.3947;371.2258;84.1479;-124.5286;296.3263;-38.0833;33.7182;465.8911
135.2703;-273.2004;378.1864;85.5063;-131.5804;302.3600;-37.4213;32.1039;465.9028
140.3211;-281.7372;384.7464;86.7025;-138.6778;308.3614;-36.7256;30.2815;466.1160
145.7533;-289.8894;391.2182;87.6619;-145.6074;314.3655;-36.1786;27.9255;466.6711
151.0444;-297.6517;397.2835;88.2335;-152.4084;320.1854;-35.5561;25.3057;467.6890
156.3303;-305.1292;402.9978;88.6797;-159.0350;326.0497;-35.0967;22.7965;468.4665
161.4732;-312.1670;408.4890;89.0500;-165.3959;332.0177;-34.7329;19.9718;469.8430
166.4169;-318.8664;413.3671;89.3459;-171.2105;337.8491;-34.2867;17.4060;471.1203
171.1538;-325.2806;418.0432;89.5094;-176.7187;343.6219;-33.9537;14.8179;472.5939
175.6009;-331.3904;422.2032;89.7176;-181.8177;349.3927;-33.7206;12.3313;474.1991
179.6960;-337.1944;426.1379;89.7287;-186.8274;354.7366;-33.2298;10.7327;475.3917
183.6659;-342.7409;429.8396;89.7444;-191.2259;359.9805;-33.0518;8.9980;476.6316
187.5059;-347.8841;432.9868;89.8516;-195.1883;365.1027;-32.8536;7.5756;477.5082
190.9513;-352.9153;435.9306;89.8516;-198.7991;369.9524;-32.7243;6.3568;477.8836
194.0433;-357.7239;438.5867;89.8516;-201.9462;374.4885;-32.7072;5.0073;477.8836
196.9820;-362.3935;440.6285;89.7721;-205.0191;378.2617;-32.3803;4.2064;477.8836
199.6504;-366.6447;442.4447;89.7162;-207.6599;381.9700;-32.2151;3.4033;477.5324
202.1222;-370.4977;444.0686;89.6357;-209.9209;385.4435;-31.9908;2.7605;477.2079
204.3113;-374.1505;445.5222;89.4615;-211.9579;388.4865;-31.7644;2.2947;477.2079
206.1079;-377.1658;446.7402;89.2155;-213.8103;391.2526;-31.5860;1.9972;477.2079
207.6711;-379.7186;447.8016;88.9845;-215.2568;393.8611;-31.5860;1.5821;477.3030
209.1010;-381.7051;448.5272;88.6443;-216.5236;395.9584;-31.5860;1.1262;478.0240
210.3459;-383.3507;449.1418;88.3532;-217.4669;397.7768;-31.6860;0.4382;479.1874
211.3012;-384.6366;449.6293;88.2013;-218.0562;399.3218;-32.0116;-0.5820;480.9209
212.1021;-385.3616;450.1684;88.2013;-218.4289;400.6097;-32.1016;-1.3357;482.6672
212.8135;-385.8581;450.6438;88.1866;-218.6498;401.5751;-32.2865;-1.5627;483.6853
213.4725;-385.7709;450.9774;88.3487;-218.5566;402.2269;-32.4340;-1.9425;484.6948
