LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
0.0000;0.0000;0.0000;-14.2020;88.6532;191.9590;-22.1670;105.9028;457.6098
0.3717;0.1442;-0.0918;-14.0652;88.8858;192.0836;-22.0765;105.8209;457.7769
0.7851;0.2878;-0.1760;-13.9322;89.0848;192.1858;-22.0054;105.7583;457.9345
1.1229;0.5189;-0.2276;-13.8364;89.2468;192.2353;-21.9680;105.7024;458.0213
1.4717;0.7864;-0.2541;-13.7145;89.4722;192.3594;-21.9054;105.7024;458.1317
1.8369;1.0366;-0.2613;-13.5953;89.6749;192.4879;-21.8667;105.7024;458.2491
2.2188;1.2333;-0.3076;-13.5293;89.7818;192.4926;-21.7809;105.8609;458.3640
2.6026;1.4595;-0.3291;-13.4384;90.0768;192.6839;-21.6708;105.9202;458.5064
2.9816;1.6815;-0.3223;-13.3535;90.2822;192.8122;-21.6375;106.0344;458.6042
3.4233;1.8847;-0.2847;-13.3002;90.4932;192.9086;-21.5388;106.1858;458.7409
3.8344;2.0121;-0.3172;-13.2210;90.6479;192.9558;-21.5108;106.3740;458.8397
4.2934;2.1478;-0.2817;-13.1140;90.9702;193.1633;-21.4108;106.7513;459.0303
4.7534;2.2754;-0.2250;-13.0172;91.2373;193.3078;-21.3538;107.0368;459.1138
5.1419;2.4461;-0.1442;-12.8731;91.3748;193.3768;-21.1748;107.4711;459.4031
5.4976;2.6906;0.0092;-12.6723;91.6430;193.6216;-21.1549;107.6949;459.4552
5.9124;2.8611;0.1920;-12.4848;91.9244;193.8506;-21.0234;108.0365;459.6538
6.2090;3.0253;0.4316;-12.2288;92.1108;193.9970;-20.9831;108.2495;459.7596
6.4290;3.0980;0.7328;-11.9099;92.3848;194.2251;-20.8318;108.4920;459.9318
6.6756;3.3967;1.0980;-11.5183;92.5387;194.3522;-20.7198;108.6561;460.0440
6.8086;3.3880;1.4937;-11.0820;92.5990;194.4319;-20.6380;108.7224;460.0798
6.8646;3.6129;2.1474;-10.5898;92.5990;194.5395;-20.3952;108.9162;460.1699
6.7868;3.8488;2.9148;-10.0560;92.5990;194.7014;-20.1532;109.0989;460.2003
6.6187;4.2594;3.9783;-9.4660;92.5741;194.7537;-19.8763;109.0989;460.2003
6.4105;4.7196;5.3124;-8.7925;92.3416;194.8455;-19.6495;109.0989;460.2003
6.0273;5.3197;6.9450;-8.0216;91.8973;194.8944;-19.4020;108.8838;460.2003
5.3990;5.9126;8.9880;-7.1829;91.4852;194.9381;-19.0998;108.8779;460.2003
4.6041;6.5732;11.4932;-6.2674;90.8314;194.9703;-18.8020;108.6872;460.6127
3.5484;7.2744;14.5096;-5.2141;89.9491;194.9732;-18.8020;108.0179;460.6127
2.2454;8.1415;18.1174;-3.9922;88.8736;194.9750;-18.8020;106.6210;460.6127
0.6254;8.9687;22.3097;-2.5150;87.4721;195.0049;-19.3258;104.7057;460.4728
-1.3860;9.6701;27.1924;-0.8715;85.7685;195.0892;-19.8936;102.7365;460.2550
-3.7387;10.2300;32.8161;0.9531;83.7779;195.3364;-20.4685;101.0321;459.9487
-6.3445;10.7813;39.0987;2.9477;81.4711;195.5530;-20.8499;99.7639;459.6871
-9.0469;11.1852;46.1675;5.1900;78.7191;195.9030;-21.1045;99.5471;459.4670
-12.2397;11.3461;54.0626;7.4720;75.4885;196.3032;-21.1045;99.5471;459.4475
-15.3709;11.3245;62.7777;10.1602;72.0142;196.9034;-21.1045;99.5471;459.4416
-18.9431;10.9271;72.4558;13.1100;68.1860;197.7569;-21.0040;100.5003;459.4203
-22.7855;10.2284;83.0495;16.3385;63.9873;198.7862;-20.8672;101.8453;459.4177
-26.8486;9.2192;94.4953;19.8105;59.3600;200.0494;-20.6010;103.7456;459.2756
-30.8048;7.7996;106.9096;23.4499;54.2931;201.4614;-20.4766;105.8306;458.7760
-34.8008;6.1124;120.0448;27.3288;48.8082;203.1398;-20.2303;107.4461;458.3684
-39.0384;3.7401;134.2654;31.3584;42.9679;205.0929;-20.0712;108.6895;457.8190
-42.8768;1.2169;148.9322;35.6080;36.7558;207.3263;-19.8557;109.3847;457.2040
-46.9481;-2.0731;164.6936;40.0974;30.1224;209.8933;-19.5344;109.3847;456.6096
-50.7877;-5.8746;181.1368;44.6833;23.1687;212.9421;-19.2922;109.3847;456.0587
-53.9071;-9.9064;198.1242;49.2972;15.5168;216.2055;-18.8858;108.7010;455.6011
-57.0472;-14.6811;215.8706;53.8388;7.5277;219.7858;-18.3968;107.1497;455.4538
-59.4702;-19.9734;234.1327;58.4338;-0.8033;223.7460;-17.7986;105.0849;455.4315
