RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
0.0000;0.0000;0.0000;15.6739;99.8504;222.8571
0.0107;-0.1339;0.0000;15.6104;99.8826;222.7964
0.0244;-0.3078;0.0000;15.5518;99.9212;222.7401
0.0248;-0.4841;0.1139;15.5046;99.9620;222.6816
0.0275;-0.6272;0.1561;15.4718;100.0102;222.6140
0.0540;-0.7853;0.1984;15.4493;100.0644;222.5442
0.0861;-0.9658;0.2343;15.4248;100.1212;222.4861
0.1177;-1.1733;0.3001;15.3974;100.1818;222.4283
0.1514;-1.3497;0.4055;15.3734;100.2500;222.3712
0.2071;-1.5432;0.4796;15.3574;100.3237;222.3144
0.2649;-1.7936;0.5691;15.3449;100.4119;222.2654
0.3184;-2.0223;0.6565;15.3390;100.5132;222.2130
0.3721;-2.2606;0.7585;15.3309;100.6281;222.1685
0.4399;-2.4389;0.8405;15.3277;100.7658;222.1312
0.5048;-2.6522;0.9440;15.3200;100.9111;222.0914
0.5634;-2.9060;1.0881;15.3149;101.0707;222.0525
0.6371;-3.1486;1.2275;15.3080;101.2492;222.0123
0.7172;-3.3815;1.3737;15.2944;101.4333;221.9784
0.8076;-3.6082;1.5107;15.2753;101.6163;221.9469
0.8998;-3.8188;1.6629;15.2563;101.7995;221.9155
0.9928;-4.0180;1.7974;15.2389;101.9775;221.8748
1.0712;-4.2345;1.9548;15.2212;102.1625;221.8316
1.1518;-4.4350;2.1090;15.2042;102.3496;221.7964
1.2296;-4.6327;2.2682;15.1902;102.5557;221.7648
1.3018;-4.8338;2.4301;15.1778;102.7662;221.7342
1.3720;-5.0468;2.5981;15.1778;102.9795;221.6985
1.4410;-5.2583;2.7704;15.1777;103.1871;221.6588
1.5102;-5.4874;2.9403;15.1725;103.3936;221.6146
1.5725;-5.7408;3.1504;15.1725;103.6101;221.5647
1.6282;-6.0310;3.3746;15.1722;103.8332;221.5337
1.6646;-6.3472;3.6264;15.1722;104.0721;221.4971
1.6885;-6.7115;3.9519;15.1702;104.3226;221.4760
1.6885;-7.1331;4.2645;15.1697;104.5697;221.4760
1.6885;-7.6772;4.7359;15.1591;104.8204;221.4760
1.6862;-8.3163;5.2511;15.1287;105.0692;221.5265
1.6854;-9.1695;5.9517;15.0607;105.3203;221.6226
1.6854;-10.2984;6.8731;14.9431;105.5710;221.7483
1.6854;-11.7861;8.0785;14.7692;105.8023;221.8967
1.6854;-13.6923;9.5874;14.5254;106.0150;222.0717
1.6854;-15.9974;11.3578;14.2229;106.2335;222.2853
1.6585;-18.7206;13.4460;13.8604;106.4225;222.5110
1.5516;-21.8558;15.8195;13.4073;106.5525;222.7762
1.3658;-25.4655;18.5592;12.8672;106.5525;223.1060
1.1328;-29.5395;21.6478;12.1948;106.5525;223.4234
0.8376;-34.1432;25.1429;11.3719;106.2659;223.7898
0.4842;-39.2898;29.0168;10.4153;105.7051;224.1622
0.0654;-44.9685;33.2993;9.3489;104.9661;224.7272
-0.4593;-51.2037;37.9766;8.1813;103.9045;225.2347
-1.0742;-57.9791;43.1352;6.9006;102.5246;225.7309
-1.7311;-65.3148;48.7422;5.5643;100.7621;226.1929
-2.4710;-73.1540;54.8783;4.1788;98.6758;226.6753
-3.2013;-81.4657;61.4888;2.7458;96.1859;227.1730
-3.8900;-90.1788;68.6105;1.1528;93.2093;227.6404
-4.4862;-99.3005;76.1580;-0.4296;89.8599;228.2047
-4.9590;-108.7028;84.2791;-2.0697;86.1000;228.9329
-5.2726;-118.3811;92.8194;-3.8376;81.9053;229.7272
-5.2726;-128.2443;101.8153;-5.5551;77.2202;230.4036
-5.2726;-138.1882;111.2503;-7.3157;71.9656;231.2739
-4.9886;-148.3821;120.9897;-9.0047;66.5997;232.5028
-4.5603;-158.6599;131.2043;-10.7210;60.6057;233.6832
-3.9045;-169.0294;141.6616;-12.4181;54.1146;234.9784
-3.0919;-179.3427;152.4938;-13.9684;47.4444;236.6048
-2.0516;-189.6708;163.5141;-15.4290;40.2636;238.2872
-0.7912;-199.9247;174.7130;-16.7546;32.8048;240.4438
0.6870;-210.0366;186.0655;-18.0828;25.0390;242.5722
2.4025;-220.0465;197.4760;-19.0580;16.7188;244.4160
4.3739;-229.8705;208.9181;-19.6225;8.1227;246.6382
6.6532;-239.4703;220.3366;-20.0926;-0.7300;249.3516
9.1426;-248.8380;231.7878;-20.3924;-9.7377;252.3894
11.8419;-258.0157;243.1895;-20.6075;-18.8924;255.7729
14.6547;-267.1310;254.5588;-20.8484;-25.5741;258.6777
17.8541;-275.8438;265.7701;-20.9604;-28.4227;271.1985
21.0423;-284.5883;276.8418;-20.9604;-28.4227;282.9801
24.5270;-292.6900;287.9190;-20.8484;-40.5316;282.9801
27.9731;-300.6570;298.8877;19.8920;-44.3455;271.1985
31.5055;-308.3615;309.6952;19.8920;-44.3455;264.2169
35.1581;-315.8078;320.2880;19.8920;-72.5919;264.2169
38.8882;-323.0221;330.6690;-4.2121;-81.8012;264.2169
42.8220;-329.9546;340.7006;-5.3312;-92.3390;280.0030
46.7833;-336.7425;350.5076;-5.3312;-102.2830;291.5107
50.8111;-343.5087;360.1524;-5.3312;-111.4601;300.5540
54.6844;-349.7580;369.4934;-3.8041;-119.8791;308.1510
58.7128;-355.6893;378.2406;-1.7529;-127.6649;314.8051
62.6593;-361.4601;386.6823;0.6373;-134.9273;320.9333
66.6064;-366.9591;394.7172;3.2586;-141.6761;326.7161
70.5025;-372.2657;402.3340;6.0833;-148.0287;332.1717
74.3724;-377.2892;409.5024;9.0481;-154.0044;337.4305
78.2419;-382.1282;416.2075;12.1322;-159.6207;342.5650
82.0907;-386.7032;422.4124;15.2847;-164.9418;347.5739
85.9199;-391.0325;428.1396;18.4579;-169.9967;352.4184
89.6252;-395.2787;433.5222;21.6162;-174.7236;357.0787
93.3752;-399.0113;438.2495;24.7627;-179.1269;361.5790
96.7677;-402.9763;443.0543;27.8978;-183.2475;365.9144
100.2338;-406.4502;447.1484;30.9818;-187.0428;370.0066
103.4087;-410.0229;451.2605;33.9907;-190.5737;373.9885
106.3721;-413.4682;455.1088;36.9223;-193.8478;377.7584
109.3767;-416.5286;458.4625;39.7772;-196.8616;381.3102
112.3274;-419.3475;461.5309;42.4708;-199.6057;384.7176
115.0987;-422.0727;464.4269;45.0529;-202.1702;387.9677
117.9612;-424.3882;466.8540;47.5016;-204.5319;391.0625
120.6040;-426.6991;469.1924;49.8412;-206.7128;394.0487
123.0942;-428.9122;471.3667;52.0599;-208.7230;396.7990
125.3915;-431.0773;473.4719;54.2117;-210.5531;399.2613
127.0794;-433.7692;476.1099;56.2531;-212.1651;401.5991
129.2408;-435.4164;477.6961;58.1528;-213.6255;403.7214
131.3839;-436.8659;479.0223;59.9367;-214.9774;405.7045
133.4495;-438.1424;480.1300;61.6028;-216.1828;407.5544
135.4116;-439.3487;481.0961;63.1288;-217.2564;409.2634
137.3560;-440.3903;481.8740;64.5558;-218.2089;410.8021
139.2070;-441.3463;482.5419;65.8749;-219.0524;412.2235
141.0214;-442.1806;483.0653;67.1321;-219.8198;413.4416
142.7973;-442.8677;483.4369;68.3021;-220.5125;414.5637
144.5413;-443.4667;483.6811;69.3754;-221.1516;415.6058
146.2135;-444.0167;483.8280;70.4157;-221.7178;416.5378
147.9011;-444.4062;483.8280;71.3903;-222.2114;417.3194
149.4845;-444.8075;483.8280;72.3049;-222.6347;417.9714
150.9708;-445.2064;483.8083;73.2088;-223.0015;418.5178
152.3323;-445.5930;483.7446;74.0576;-223.3165;418.9909
153.5464;-445.9465;483.6543;74.8750;-223.5563;419.3536
154.6674;-446.2191;483.4363;75.6730;-223.7507;419.6347
155.6778;-446.4660;483.1893;76.4273;-223.8961;419.7948
156.5748;-446.6752;482.9419;77.1403;-224.0291;419.9149
157.4011;-446.8249;482.7316;77.7660;-224.1117;419.9149
158.2222;-446.8376;482.4692;78.3032;-224.1686;419.9149
158.9418;-446.8376;482.3398;78.7666;-224.1686;419.8545
159.4629;-446.8376;482.3387;79.0916;-224.1686;419.7390
159.8821;-446.8026;482.3387;79.3514;-224.1074;419.5571
546.2538;-255.9068;-914.1282;546.2538;-255.9068;-914.1282
