RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
0.0000;0.0000;0.0000;41.6648;85.9809;224.3802
0.0734;0.1186;0.0781;41.7984;86.1037;224.4398
0.1581;0.2340;0.1800;41.9367;86.2230;224.4951
0.2509;0.3493;0.2737;42.0848;86.3511;224.5641
0.3489;0.4684;0.3801;42.2335;86.4787;224.6294
0.4456;0.5857;0.4785;42.3854;86.6105;224.7060
0.5748;0.6818;0.6271;42.5292;86.7556;224.8060
0.6427;0.8140;0.7231;42.6703;86.9100;224.9133
0.7514;0.9176;0.8701;42.8208;87.0599;225.0120
0.8881;1.0117;1.0472;42.9823;87.2152;225.1212
0.9482;1.1455;1.1207;43.1664;87.3740;225.2191
1.0210;1.2774;1.2340;43.3401;87.5396;225.3195
1.1273;1.4008;1.4016;43.4980;87.7079;225.4168
1.2173;1.5561;1.5526;43.6625;87.8658;225.5072
1.2934;1.7028;1.7529;43.8321;88.0327;225.6116
1.3142;1.8765;1.8593;44.0058;88.2098;225.7196
1.3492;2.0539;1.9902;44.1782;88.3793;225.8171
1.4016;2.2158;2.1591;44.3402;88.5562;225.9225
1.4932;2.3439;2.4121;44.4999;88.7296;226.0201
1.5072;2.5163;2.6154;44.6618;88.9170;226.1268
1.5146;2.7386;2.7358;44.8269;89.1096;226.2253
1.5203;2.9509;2.8471;44.9937;89.3058;226.3262
1.5203;3.1686;2.9831;45.1611;89.5219;226.4273
1.5498;3.3893;3.1566;45.3274;89.7541;226.5420
1.5855;3.6279;3.3167;45.5203;89.9891;226.6526
1.6484;3.8130;3.5511;45.7068;90.2277;226.7623
1.6823;4.0363;3.7370;45.8954;90.4633;226.8638
1.6836;4.3179;3.8507;46.0802;90.7005;226.9403
1.6894;4.6133;3.9603;46.2645;90.9467;227.0064
1.7091;4.8907;4.0680;46.4501;91.2213;227.1135
1.7579;5.1831;4.0792;46.6318;91.5246;227.2474
1.7709;5.5389;4.2208;46.8363;91.8302;227.3674
1.7915;5.8554;4.4075;47.0337;92.1341;227.4646
1.8399;6.1617;4.5168;47.2421;92.4412;227.5534
1.8663;6.5793;4.6480;47.4639;92.7703;227.6231
1.8840;6.9535;4.8035;47.6729;93.0797;227.6840
1.9147;7.3151;4.9020;47.8745;93.4469;227.7800
1.9576;7.8039;4.9693;48.0856;93.8194;227.8933
1.9576;8.2150;5.0948;48.2929;94.1996;227.9723
1.9351;8.6700;5.3042;48.5304;94.6445;228.0765
1.9351;9.1607;5.4274;48.7933;95.1199;228.1517
1.8605;9.5825;5.6820;49.0654;95.6733;228.2196
1.7160;10.0905;5.7921;49.3636;96.3245;228.2505
1.4143;10.5240;6.3090;49.7018;97.0858;228.2505
1.0261;10.9907;6.6250;50.0580;97.9586;228.2505
0.4910;11.3302;7.1574;50.3267;98.8258;227.9834
-0.3433;11.6504;8.0453;50.7067;99.9114;227.8683
-1.4242;11.8935;9.1051;51.0889;101.1873;227.8683
-2.7010;12.1588;10.1366;51.2962;102.6666;227.8683
-4.1369;12.2877;11.3190;51.3781;104.9076;227.9505
-5.9391;12.2877;12.8698;51.5310;106.9309;228.0179
-7.7747;12.2877;14.3415;51.6073;108.8316;228.0465
-9.8704;12.1067;16.1522;51.6073;110.7526;228.0758
-12.3117;11.8845;18.3113;51.6073;112.7797;228.2028
-15.1673;11.6980;20.9605;51.5427;115.2699;228.6147
-17.8832;11.2509;23.3073;51.4851;117.4855;228.8809
