RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
-54.2616;-150.0770;201.7217;-55.7330;69.4704;217.1321
-55.9131;-155.0899;211.8765;-57.7988;64.6243;219.4493
-57.7043;-160.4417;221.9051;-59.9837;59.7011;221.6637
-59.3977;-165.3473;231.9113;-62.1203;54.8207;224.6611
-60.8270;-169.5897;241.7220;-64.0549;49.6855;227.5390
-62.1362;-173.6216;251.4350;-65.9739;44.5535;230.6666
-63.5985;-177.9729;261.3333;-67.8213;39.5376;233.8512
-65.0022;-182.1403;271.0893;-69.6545;34.4843;237.3233
-66.3152;-185.8480;280.3671;-71.5535;29.4927;241.1441
-67.6846;-189.6102;289.8902;-72.3177;23.2825;242.9507
-69.0435;-193.2327;298.9207;-73.8143;17.9756;246.4807
-70.6964;-197.6993;308.4723;-75.4176;13.2357;250.4124
-72.0974;-201.3255;317.4162;-76.9710;8.5873;254.4881
-73.3813;-204.4204;326.0163;-78.4171;3.9976;258.5874
-74.8086;-207.8542;334.6838;-79.6931;-0.4767;262.5728
-76.2083;-210.8595;342.9577;-80.8604;-4.9125;266.5980
-77.7357;-213.6510;350.7479;-82.0227;-9.0517;270.6544
-79.2502;-216.2370;358.3740;-83.0413;-13.1388;274.6247
-80.8727;-218.8555;365.5624;-83.9532;-17.0754;278.5243
-82.4511;-221.2651;372.6455;-84.8077;-20.8296;282.4663
-84.1145;-223.2875;379.1492;-85.6106;-24.3295;286.3614
-85.8206;-225.4551;385.3729;-86.2583;-27.7717;290.0651
-87.6566;-227.5784;391.3419;-86.8527;-30.9742;293.7803
-89.5803;-229.6355;396.7413;-87.3829;-33.9886;297.2853
-91.5091;-231.4841;401.9642;-87.8932;-36.7231;300.7705
-93.4988;-233.2538;406.6597;-88.3983;-39.2067;304.2072
-95.4302;-234.8326;411.0684;-89.2088;-40.4901;308.4997
-97.4000;-236.3572;415.1702;-89.4662;-43.7351;310.3534
-99.3182;-237.7416;418.9339;-89.6871;-45.6116;313.4864
-101.2607;-238.9967;422.2823;-90.1934;-47.2449;316.5705
-103.2238;-240.2871;425.3287;-90.7813;-48.6592;319.6642
-105.1257;-241.5161;428.1424;-91.2829;-50.0518;322.4722
-107.0181;-242.7883;430.6398;-91.7836;-51.3506;325.1289
-108.8200;-244.0043;433.0840;-92.3498;-52.4898;327.7899
-110.4470;-245.1288;435.1638;-92.9670;-53.4538;330.3105
-112.0005;-246.3394;437.1273;-93.6248;-54.3791;332.8567
-113.3441;-247.3722;438.9420;-94.2671;-55.2429;335.2285
-114.5273;-248.5103;440.6646;-94.9906;-55.9943;337.6766
-115.5279;-249.6119;442.3096;-95.7090;-56.7637;340.0873
-116.3195;-250.8237;443.8348;-96.4718;-57.5073;342.5957
-116.9109;-252.0902;445.3887;-97.2032;-58.2208;345.0975
