LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
521.0696;-129.6572;-14.4449;504.0868;-39.6833;222.8378
521.0470;-129.6213;-14.5503;504.0633;-39.9678;222.7217
521.0130;-129.5957;-14.6665;504.0633;-40.1298;222.6288
520.9940;-129.5619;-14.7673;504.0633;-40.2583;222.5483
520.9670;-129.5551;-14.8832;504.0416;-40.3042;222.4638
520.9319;-129.5468;-14.9876;503.7871;-40.5574;222.4410
520.8933;-129.5468;-15.1123;503.7871;-40.5661;222.3314
520.8415;-129.5468;-15.2435;503.7793;-40.7486;222.1356
520.7737;-129.5630;-15.3577;503.7793;-40.7486;222.0044
520.7012;-129.5974;-15.4902;503.3721;-40.7486;221.9918
520.6160;-129.6384;-15.6145;503.0921;-40.6751;221.9863
520.5167;-129.6847;-15.7292;502.8627;-40.6751;221.9863
520.4110;-129.7395;-15.8484;502.6786;-40.6751;221.9364
520.2960;-129.7892;-15.9490;502.5213;-40.7808;221.8682
520.1643;-129.8568;-16.0573;502.3653;-40.9067;221.8006
520.0151;-129.9295;-16.1628;502.2105;-41.0387;221.7252
519.8475;-130.0208;-16.2855;502.0555;-41.1783;221.6483
519.6694;-130.1121;-16.3932;501.9016;-41.3301;221.5665
519.4756;-130.2146;-16.5097;501.7550;-41.5068;221.4779
519.2640;-130.3292;-16.6250;501.6079;-41.7022;221.3699
519.0332;-130.4605;-16.7246;501.5474;-41.8791;221.2673
518.7857;-130.6068;-16.8346;501.5474;-42.0756;221.1840
518.5124;-130.7688;-16.9368;501.5474;-42.8480;220.9247
518.2409;-130.9327;-17.0209;501.5474;-43.3707;220.7281
517.9555;-131.1085;-17.1210;501.5474;-43.7382;220.5827
517.6440;-131.2811;-17.2189;501.3864;-43.7382;220.4907
517.3180;-131.4562;-17.3268;501.1089;-43.7382;220.4709
516.9733;-131.6351;-17.4197;500.6193;-43.8523;220.4625
516.6188;-131.8266;-17.4949;500.2498;-43.8523;220.4341
516.2383;-132.0208;-17.5627;499.9819;-43.8523;220.4079
515.8614;-132.2134;-17.6500;499.9622;-44.4001;220.2483
515.4621;-132.4266;-17.7434;499.7527;-44.5751;220.1457
515.0558;-132.6329;-17.8329;499.3224;-44.6615;220.1381
514.6499;-132.8650;-17.8963;499.0751;-44.6738;220.1212
514.2098;-133.1120;-17.9693;498.9710;-45.4801;219.9333
513.7487;-133.3487;-18.0423;498.9613;-45.8983;219.8545
513.2850;-133.5892;-18.1142;498.7069;-46.1577;219.7821
512.8283;-133.8320;-18.1610;498.4308;-46.2586;219.7677
512.3367;-134.0997;-18.2097;497.8731;-46.2720;219.7399
