LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
477.5016;84.9983;448.4095;508.6919;95.1518;253.9435
NaN;NaN;NaN;508.6486;95.2036;253.9657
NaN;NaN;NaN;508.6202;95.2641;253.9890
NaN;NaN;NaN;508.5839;95.3317;254.0092
NaN;NaN;NaN;508.5495;95.3928;254.0164
NaN;NaN;NaN;508.5121;95.4635;254.0336
NaN;NaN;NaN;508.4743;95.5257;254.0433
NaN;NaN;NaN;508.4322;95.5892;254.0639
NaN;NaN;NaN;508.3960;95.6395;254.0857
NaN;NaN;NaN;508.3553;95.6797;254.0985
NaN;NaN;NaN;508.2959;95.7209;254.1014
NaN;NaN;NaN;508.2057;95.7728;254.1014
NaN;NaN;NaN;508.1009;95.8328;254.1014
521.9284;8.9470;42.6550;507.9850;95.8923;254.0947
521.0572;7.0428;42.6550;507.8510;95.9684;254.0860
NaN;NaN;NaN;507.7046;96.0531;254.0810
NaN;NaN;NaN;507.5395;96.1402;254.0648
NaN;NaN;NaN;507.3690;96.2410;254.0624
NaN;NaN;NaN;507.2022;96.3463;254.0608
NaN;NaN;NaN;507.0287;96.4608;254.0603
NaN;NaN;NaN;506.8495;96.5828;254.0603
NaN;NaN;NaN;506.6493;96.7189;254.0607
NaN;NaN;NaN;506.4401;96.8676;254.0607
NaN;NaN;NaN;506.2259;97.0380;254.0712
NaN;NaN;NaN;505.9993;97.2330;254.0865
NaN;NaN;NaN;505.7714;97.4336;254.0920
NaN;NaN;NaN;505.5560;97.6382;254.0920
NaN;NaN;NaN;505.3310;97.8502;254.0920
NaN;NaN;NaN;505.0890;98.0712;254.0862
NaN;NaN;NaN;504.8365;98.3070;254.0677
NaN;NaN;NaN;504.5741;98.5527;254.0496
NaN;NaN;NaN;504.3267;98.7902;254.0372
NaN;NaN;NaN;504.0774;99.0343;254.0265
NaN;NaN;NaN;503.8189;99.2875;254.0041
NaN;NaN;NaN;503.5582;99.5597;253.9734
NaN;NaN;NaN;503.2881;99.8468;253.9389
NaN;NaN;NaN;503.0177;100.1363;253.8941
NaN;NaN;NaN;502.7438;100.4304;253.8404
NaN;NaN;NaN;502.4683;100.7316;253.7845
NaN;NaN;NaN;502.1616;101.0527;253.7297
NaN;NaN;NaN;501.8458;101.4052;253.6858
NaN;NaN;NaN;501.5288;101.7617;253.6466
NaN;NaN;NaN;501.2227;102.1277;253.5841
NaN;NaN;NaN;500.8995;102.5045;253.5154
NaN;NaN;NaN;500.5532;102.9164;253.4502
NaN;NaN;NaN;500.2405;103.3191;253.3643
NaN;NaN;NaN;499.9054;103.7545;253.2825
NaN;NaN;NaN;499.5771;104.2112;253.1877
NaN;NaN;NaN;499.2410;104.6961;253.1050
NaN;NaN;NaN;498.9017;105.1977;253.0241
NaN;NaN;NaN;498.5909;105.7144;252.9185
NaN;NaN;NaN;498.2764;106.2219;252.7946
NaN;NaN;NaN;497.9275;106.7909;252.6676
NaN;NaN;NaN;497.6040;107.3772;252.5129
NaN;NaN;NaN;497.2808;108.0038;252.3746
NaN;NaN;NaN;496.9838;108.6596;252.2177
NaN;NaN;NaN;496.6883;109.3221;252.0888
NaN;NaN;NaN;496.4179;110.0047;251.9587
NaN;NaN;NaN;496.1740;110.6888;251.8466
NaN;NaN;NaN;495.9330;111.3943;251.7701
NaN;NaN;NaN;495.7511;112.0812;251.7326
NaN;NaN;NaN;495.5841;112.7571;251.7326
NaN;NaN;NaN;495.4361;113.4340;251.7326
NaN;NaN;NaN;495.3184;114.1045;251.7603
NaN;NaN;NaN;495.2049;114.7496;251.7980
NaN;NaN;NaN;495.1288;115.3944;251.8526
NaN;NaN;NaN;495.0624;116.0533;251.9046
NaN;NaN;NaN;495.0495;116.6906;251.9161
NaN;NaN;NaN;494.9743;117.4044;251.9304
NaN;NaN;NaN;494.9743;118.0719;251.9493
NaN;NaN;NaN;494.9743;118.7323;251.9865
NaN;NaN;NaN;495.0423;119.4126;252.0514
603.9770;-72.7276;224.6512;495.1453;120.1030;252.1068
609.2303;-78.8949;234.9904;495.2790;120.7909;252.1999
614.1698;-84.3028;246.1115;495.4486;121.5200;252.3015
618.8350;-89.3813;257.0528;495.6595;122.2300;252.3847
623.4251;-94.3944;268.1076;495.9092;122.9633;252.4800
627.9306;-99.3307;279.2937;496.1914;123.6747;252.5733
632.2436;-104.2424;290.4456;496.5010;124.4034;252.6630
636.4098;-109.2020;301.5714;496.8617;125.1388;252.7957
640.5464;-114.0675;312.8152;497.2557;125.8736;252.9419
644.4457;-118.9691;324.0693;497.6659;126.6028;253.1047
648.2778;-123.8491;335.4385;498.1034;127.3305;253.3008
651.9196;-128.7006;346.8897;498.5725;128.0875;253.5322
655.3693;-133.5022;358.3459;499.0527;128.8648;253.8083
658.6721;-138.2645;369.9507;499.5427;129.6592;254.1049
661.6288;-142.9497;381.4075;500.0908;130.4863;254.4533
664.3580;-147.5484;392.8235;500.6922;131.2999;254.7748
666.7858;-152.0940;404.0703;501.2955;132.1602;255.1146
669.0116;-156.3844;414.7989;501.9807;132.9683;255.3660
