LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
496.9947;-92.7006;-7.3300;492.8671;-8.8857;232.6655
496.9798;-92.8238;-7.3657;492.8448;-8.9795;232.6497
496.9569;-92.9574;-7.4108;492.8416;-9.1303;232.6068
496.9263;-93.0923;-7.4509;492.8319;-9.2965;232.5664
496.8889;-93.2423;-7.4910;492.8096;-9.4391;232.5545
496.8554;-93.3997;-7.5197;492.7939;-9.6022;232.5504
496.8289;-93.5646;-7.5351;492.7678;-9.8057;232.5055
496.8089;-93.7489;-7.5479;492.7256;-9.9895;232.4807
496.7874;-93.9449;-7.5652;492.6691;-10.1666;232.4807
496.7635;-94.1379;-7.5881;492.6009;-10.3464;232.4807
496.6993;-94.3532;-7.5881;492.5310;-10.5343;232.4928
496.6562;-94.5614;-7.5881;492.4903;-10.8011;232.4928
496.5555;-94.7847;-7.5218;492.4551;-11.0974;232.4989
496.4702;-95.0209;-7.4593;492.3952;-11.3827;232.4989
496.3969;-95.2952;-7.4037;492.3268;-11.6593;232.5044
496.2637;-95.6007;-7.3225;492.2507;-11.9389;232.5341
496.1510;-95.9053;-7.2789;492.1582;-12.2028;232.5907
496.0294;-96.2441;-7.2320;492.0562;-12.4481;232.6500
495.9004;-96.6076;-7.1963;491.9854;-12.7945;232.6603
495.7023;-97.0011;-7.1124;491.9088;-13.1449;232.6608
495.5647;-97.3979;-7.0672;491.8187;-13.4588;232.6737
495.4225;-97.8134;-7.0132;491.7486;-13.7639;232.7245
495.2868;-98.2628;-6.9142;491.7114;-14.0996;232.7765
495.2755;-98.7330;-6.8115;491.6731;-14.4367;232.8198
495.2755;-99.2208;-6.6482;491.6153;-14.7200;232.8504
495.2755;-99.7881;-6.4411;491.5478;-14.9660;232.9057
495.4554;-100.3862;-6.1161;491.4222;-15.1400;233.0167
495.7100;-101.1123;-5.6002;491.3044;-15.2041;233.1362
496.0715;-101.9297;-4.9109;491.1844;-15.2041;233.4092
496.5510;-102.8766;-3.9714;491.1720;-15.2041;233.8618
497.1744;-104.0150;-2.7921;491.1720;-15.0693;234.4105
498.0048;-105.3907;-1.3769;491.1720;-14.9463;235.0632
499.0871;-106.9896;0.2571;491.4516;-14.8500;235.9015
500.4359;-108.9364;2.0692;491.9533;-14.7753;236.8887
502.0433;-111.2838;4.0429;492.6480;-14.7753;237.8464
503.9140;-114.0704;6.1430;493.5968;-14.7753;238.8223
506.1416;-117.3507;8.4816;494.7797;-14.8616;239.7718
509.1108;-121.2386;11.2012;496.1369;-15.1028;240.6600
511.6725;-125.3296;13.9169;497.6932;-15.5580;241.2969
514.3816;-130.1538;16.9847;499.5704;-16.2211;241.9690
517.3835;-135.5935;20.4000;501.6551;-17.0262;242.7599
520.5798;-141.5924;24.2428;503.9905;-17.7255;243.7867
523.9813;-148.1665;28.7138;506.6799;-19.0180;244.9281
527.5622;-155.2668;33.5906;509.5528;-20.5281;246.0653
531.3365;-162.8353;38.9328;512.5857;-22.1828;247.3584
535.2372;-170.8906;44.9329;515.7940;-24.1207;248.6568
539.4267;-179.2735;51.3750;519.1451;-26.1480;250.3318
543.7142;-188.0923;58.5287;522.5947;-28.3767;252.1175
548.1943;-197.1668;66.2002;526.0685;-30.7659;254.0746
552.7353;-206.5359;74.5144;529.6307;-33.3875;256.1939
557.3829;-216.0714;83.5134;533.2683;-36.2014;258.5215
561.9892;-225.8547;93.0644;537.0126;-39.2433;261.0359
566.6012;-235.7251;103.2230;540.8892;-42.5360;263.8568
571.2136;-245.6365;113.9432;544.8158;-46.0693;266.8666
575.7533;-255.6940;125.5177;548.7143;-50.0911;269.9954
580.1481;-265.7542;137.3951;552.5221;-54.0528;273.2158
584.5847;-275.6595;149.8759;556.4372;-58.7173;276.6179
588.8512;-285.4425;162.9513;560.1143;-63.6024;280.2298
592.6907;-293.4609;176.8284;563.5485;-68.6175;284.1023
595.6270;-299.0365;190.0205;566.9127;-74.0911;287.9053
599.5304;-306.4866;204.4175;570.3488;-80.2082;291.5744
603.1267;-314.4198;219.2955;573.0772;-86.4537;295.4978
606.4034;-322.7141;234.2514;576.4472;-92.4831;301.7683
609.3402;-330.8961;249.4338;578.8634;-98.0927;306.9504
612.0793;-339.1504;265.2012;581.2350;-104.1207;312.3626
614.5372;-347.2924;281.2105;584.1151;-109.6156;319.2653
616.7378;-355.4447;297.0561;586.8518;-115.8725;325.1047
618.2941;-363.4169;313.2797;589.5074;-122.0906;331.7519
619.8163;-370.7529;329.3970;592.1654;-128.4602;338.5595
621.4834;-378.1955;346.0336;594.3470;-135.4946;344.9081
622.8311;-385.5524;362.5644;596.0894;-142.6427;351.7955
624.0570;-392.6226;379.2292;597.5503;-149.6844;358.5913
625.1715;-399.4757;395.9907;599.6903;-156.3676;366.1713
625.8007;-405.7105;412.5425;601.4628;-162.7826;374.1011
626.3408;-411.6825;428.8951;602.8202;-169.1669;382.2031
626.9570;-417.8058;445.4485;603.7720;-175.5715;390.3472
626.9570;-423.2913;461.3825;604.4118;-182.1711;398.4195
626.9570;-428.0333;477.0678;604.4118;-188.9028;406.4698
626.8447;-432.5831;492.2445;604.4118;-195.1905;414.9461
626.5887;-437.0387;506.8349;604.1199;-201.3563;423.4955
626.3024;-441.2759;521.0301;603.6611;-207.2515;432.1205
625.9679;-445.3704;534.8444;603.0104;-212.9742;440.7917
625.6535;-449.5247;548.5704;602.0832;-218.6309;449.3929
625.0438;-453.4523;561.8072;601.0045;-224.0452;458.0427
624.2690;-457.2622;574.9902;599.9264;-229.1629;466.8737
