RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
0.0000;0.0000;0.0000;-13.4063;95.8435;192.5406
0.0158;-0.0902;-0.0434;-13.4103;95.6512;192.4601
0.0694;-0.1913;-0.1161;-13.4659;95.5158;192.4242
0.1580;-0.3125;-0.1784;-13.5006;95.4026;192.3563
0.1990;-0.4218;-0.2269;-13.5450;95.2693;192.2871
0.2537;-0.5513;-0.3300;-13.6029;95.0979;192.2402
0.3275;-0.6814;-0.3812;-13.6456;94.9293;192.1743
0.3574;-0.7662;-0.4041;-13.7152;94.7216;192.1437
0.4563;-0.9496;-0.4180;-13.7673;94.5224;192.0949
0.5412;-1.0785;-0.5327;-13.8492;94.2249;192.0845
0.6657;-1.2817;-0.6335;-13.9101;93.9074;192.0214
0.7758;-1.4576;-0.6849;-13.9849;93.6480;192.0142
0.8987;-1.6852;-0.7318;-14.0744;93.2940;192.0057
1.0556;-1.9446;-0.7318;-14.1700;92.9907;191.9991
1.2633;-2.2507;-0.7318;-14.2960;92.6865;191.9991
1.4978;-2.5818;-0.6203;-14.4527;92.3855;191.9991
1.8453;-3.0282;-0.5153;-14.6866;92.1244;192.0343
2.2725;-3.5779;-0.3040;-15.0617;91.8665;192.1882
2.8000;-4.2075;0.1325;-15.5109;91.6614;192.3060
3.5577;-5.0383;0.7361;-16.1505;91.5134;192.5139
4.5315;-6.0691;1.1566;-16.9118;91.5134;192.7766
6.1528;-8.0332;1.5836;-17.7764;91.5134;193.0228
7.4595;-9.4545;2.4334;-18.7012;91.6672;193.2728
8.9074;-11.1345;3.9262;-19.7243;91.8314;193.5765
10.5073;-13.0469;5.7747;-20.7489;92.1588;193.8577
12.2855;-15.2048;7.8868;-21.8376;92.4605;194.2600
14.2095;-17.5669;10.3043;-22.9662;92.6378;194.7857
16.3597;-20.2128;13.0554;-24.0993;92.8104;195.2128
18.7408;-23.1687;16.0057;-25.2619;92.8104;195.8048
21.2315;-26.1758;19.6521;-26.5093;92.8104;196.5140
23.8773;-29.5692;23.3663;-27.7575;92.3844;196.8887
26.6957;-33.1887;27.5070;-29.0797;91.8993;197.7517
29.6998;-37.1707;32.0117;-30.3660;91.1516;198.5073
32.8370;-41.5374;36.8951;-31.7020;90.1690;199.4079
36.0820;-46.1417;42.2467;-32.9410;88.8314;200.2426
39.4423;-51.0574;47.9085;-34.1985;87.3014;201.1391
42.9868;-56.2314;53.8989;-35.3429;85.3136;202.0118
46.6292;-61.6385;60.2649;-36.4689;83.1530;202.9529
50.4340;-67.2566;66.9496;-37.5305;80.5999;203.8766
54.3843;-73.0863;73.8292;-38.3346;77.5487;204.6413
58.4876;-78.9934;81.1332;-39.0367;74.0891;205.3974
