RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
0.0000;0.0000;0.0000;47.6119;90.0075;226.2958
0.0305;0.0798;0.0721;47.7768;90.2353;226.2911
0.0662;0.1647;0.1214;47.9450;90.4626;226.2911
0.0904;0.2575;0.1672;48.1031;90.7736;226.2911
0.1336;0.3468;0.2134;48.2599;91.1404;226.3451
0.1748;0.4439;0.2505;48.4239;91.4843;226.3451
0.2122;0.5477;0.2702;48.5764;91.7622;226.3451
0.2519;0.6613;0.2816;48.7373;91.9784;226.3403
0.3123;0.7567;0.3321;48.8912;92.2480;226.3389
0.3608;0.8256;0.4483;49.0560;92.5746;226.3389
0.4128;0.9445;0.4813;49.2204;92.9607;226.3163
0.4866;1.0429;0.5692;49.3838;93.2900;226.3163
0.5754;1.1506;0.5692;49.5171;93.4722;226.3163
0.6653;1.3266;0.5692;49.5801;93.5519;225.9484
0.7213;1.5292;0.5730;49.6796;93.5550;225.7020
0.7735;1.7040;0.5730;49.8140;93.7429;225.5681
0.8891;1.8314;0.7264;49.9805;93.9946;225.5152
0.8891;2.0896;0.7264;50.1204;94.3081;225.4721
0.8926;2.3655;0.7480;50.2477;94.5916;225.4029
0.9016;2.6457;0.7480;50.3909;94.8341;225.3017
0.9016;2.8918;0.7602;50.5133;95.1073;225.2600
0.9552;3.1252;0.8644;50.6479;95.4553;225.2401
0.9682;3.4407;0.8783;50.7988;95.8247;225.2378
0.9845;3.7375;0.9168;50.9281;96.1400;225.2231
1.0153;4.0395;0.9168;51.0688;96.3952;225.1400
1.0441;4.4137;0.9168;51.2018;96.6851;225.0656
1.0441;4.7715;0.8916;51.3245;97.0180;225.0435
1.0188;5.1250;0.8899;51.4479;97.3603;225.0410
1.0153;5.5099;0.8359;51.5998;97.6964;225.0405
1.0106;5.9042;0.8152;51.7576;98.0288;225.0295
0.9741;6.3115;0.7967;51.8831;98.2741;224.9523
0.9228;6.7127;0.7820;52.0035;98.5684;224.9247
0.8895;7.1173;0.7793;52.1373;98.8562;224.9247
0.8845;7.5161;0.7763;52.2721;99.1738;224.9247
0.8827;7.9122;0.7592;52.4148;99.5082;224.9316
0.8539;8.3264;0.7592;52.5466;99.8505;224.9316
0.8453;8.7274;0.7400;52.6857;100.1082;224.9316
0.8165;9.1139;0.7209;52.8257;100.3321;224.9039
0.8087;9.5099;0.7035;52.9574;100.5691;224.9039
0.8087;9.9134;0.7004;53.1025;100.8393;224.9039
0.7319;10.3578;0.6012;53.2167;101.1484;224.9108
0.7309;10.7514;0.5338;53.3225;101.4337;224.9108
0.6969;11.1554;0.4793;53.4487;101.6704;224.9108
0.6905;11.5626;0.3963;53.5827;101.9200;224.9121
0.6847;11.9719;0.3291;53.7003;102.1667;224.9099
0.6462;12.3767;0.2524;53.8024;102.4174;224.9099
0.6366;12.7327;0.2322;53.8919;102.6308;224.9099
0.6366;13.0736;0.2036;54.0016;102.8346;224.9099
0.6366;13.4209;0.1818;54.1073;103.0137;224.8930
0.6469;13.7698;0.1479;54.1937;103.2028;224.8810
0.6981;14.1042;0.1242;54.2865;103.3668;224.8648
0.7554;14.4449;0.0980;54.3665;103.3785;224.6914
0.8099;14.7709;0.0980;54.4553;103.4416;224.6004
0.8099;15.0772;0.0980;54.5314;103.5206;224.6004
0.8099;15.4454;0.0995;54.6414;103.7157;224.6004
0.8013;15.8001;0.1071;54.8081;104.0467;224.7528
0.7800;16.1475;0.1124;54.9953;104.2244;224.7528
0.7743;16.4934;0.1337;55.2087;104.3423;224.7528
0.7662;16.8410;0.1664;55.4484;104.4158;224.6576
0.7625;17.1599;0.3079;55.7461;104.5306;224.5509
0.7537;17.4681;0.4229;56.1147;104.6628;224.4470
0.7537;17.7812;0.4346;56.4673;104.9205;224.4470
0.7625;18.0937;0.4360;56.8283;105.5007;224.4470
0.7954;18.3896;0.4360;57.2561;106.3150;224.5140
0.8030;18.6953;0.4360;57.6647;107.1600;224.5259
0.8463;18.9768;0.4360;57.8673;107.6199;224.7061
0.8902;19.2589;0.4279;58.1460;108.8914;224.9152
0.9434;19.5261;0.4244;58.2884;110.0670;224.9152
0.9723;19.7987;0.3480;58.3130;110.5405;224.9437
0.9948;20.0559;0.2779;58.3515;111.4283;224.9567
1.0444;20.3066;0.2409;58.3515;112.8065;224.9567
1.0973;20.5433;0.2126;58.3515;114.0968;224.9567
1.1245;20.7947;0.1606;58.2299;115.3127;224.9567
1.2054;21.0171;0.1375;57.6834;116.1711;224.7120
1.2406;21.2350;0.1085;57.2817;117.4966;224.7120
1.2406;21.4455;0.1085;56.8351;118.9218;224.7120
1.2406;21.6772;0.1085;56.2850;120.2799;224.8775
1.2018;21.9009;0.1235;55.6087;121.5546;225.1174
1.1213;22.1367;0.2564;54.9719;122.7325;225.5256
1.0092;22.3788;0.4397;54.0879;123.8021;225.8772
0.7866;22.5814;0.6737;53.0358;124.8114;226.4221
0.5564;22.7529;1.0426;51.7090;125.3536;226.8141
0.2447;22.8975;1.5484;50.1663;125.6470;227.1780
-0.2559;22.9626;2.1727;48.5368;125.8521;227.7518
-0.9321;22.9626;2.9371;46.7506;125.8521;228.4777
-1.7799;22.9626;3.7854;44.9812;125.8521;229.3695
-2.8060;22.9200;4.7234;43.6236;125.8249;229.6091
-4.0624;22.7473;5.8552;42.1908;125.2300;230.4026
-5.5807;22.4821;7.1545;40.3402;124.4673;231.3468
-7.1987;22.0881;8.4296;38.0905;123.7250;232.4072
-9.0229;21.5129;9.8744;35.4958;122.8434;233.5482
-11.1291;20.7330;11.6748;32.5908;121.8290;234.7992
-13.4436;19.6871;13.7233;29.4067;120.6068;236.1117
-15.9221;18.3761;16.0571;25.9564;119.1474;237.5592
-18.4674;16.7748;18.6060;22.3598;117.4864;239.2194
-21.1057;14.8591;21.4854;18.4996;115.6936;241.0287
-23.8985;12.6678;24.7057;14.4095;113.4930;242.6658
-26.8237;10.2096;28.2485;10.0604;111.0672;244.8412
-29.9037;7.5863;32.1251;5.4994;108.0583;246.6662
-33.2000;4.7299;36.4086;0.6146;105.5549;250.2519
-36.6936;1.6580;41.1068;-4.3383;102.7728;253.1105
-40.3490;-1.6327;46.2257;-9.3818;99.3957;255.9754
-44.1617;-5.2287;51.8090;-9.3818;95.2300;255.9754
-48.1526;-9.0483;57.7960;-9.3818;90.8896;255.9754
-52.2764;-13.0450;64.1560;560.3413;-194.8354;253.3345
-56.5831;-17.2043;70.9162;560.3413;-194.8354;242.8084
-61.0583;-21.4468;78.0048;560.3413;-194.8354;242.8084
-65.6977;-25.9205;85.4770;12.3975;23.2610;242.8084
-70.4479;-30.4353;93.3355;-20.8150;38.5335;266.5807
-75.2990;-35.0875;101.5353;-34.5361;39.4423;281.1651
-80.1583;-39.8621;110.2162;-45.7155;39.4423;291.1891
-85.0730;-44.7302;119.3441;-54.9324;39.4423;299.1344
-90.1403;-49.6071;129.2684;-62.6260;35.4084;306.3184
