RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
0.0000;0.0000;0.0000;42.2171;84.6388;224.1038
-0.0860;-0.0624;0.1210;42.1124;84.7361;224.1492
-0.2083;-0.1438;0.2157;41.9932;84.8192;224.1872
-0.3473;-0.2689;0.2895;41.8501;84.8444;224.2173
-0.5069;-0.4309;0.3798;41.7030;84.8444;224.2413
-0.6775;-0.6404;0.5115;41.5415;84.8444;224.2673
-0.8339;-0.8919;0.6189;41.3511;84.7730;224.2996
-1.0061;-1.2191;0.7870;41.1517;84.6476;224.3193
-1.1662;-1.5770;0.9538;40.9443;84.4999;224.3655
-1.3494;-1.9229;1.0203;40.7330;84.3064;224.4039
-1.5187;-2.3224;1.0691;40.5327;84.0627;224.4370
-1.6713;-2.7572;1.1277;40.3353;83.7751;224.4657
-1.8691;-3.2129;1.1764;40.1341;83.4579;224.4872
-2.0464;-3.7553;1.2822;39.9203;83.0909;224.5326
-2.2536;-4.3360;1.2910;39.6902;82.6573;224.5756
-2.4603;-4.9582;1.3413;39.4276;82.1687;224.5771
-2.7031;-5.5911;1.4022;39.1978;81.6498;224.6051
-2.9901;-6.2573;1.4022;38.9813;81.0943;224.6544
-3.1646;-6.9354;1.3978;38.7504;80.5145;224.6733
-3.3529;-7.6319;1.3978;38.5365;79.9005;224.6991
-3.5847;-8.3449;1.4473;38.3331;79.2937;224.7450
-3.6819;-9.0276;1.4899;38.1234;78.6331;224.7534
-3.7920;-9.7294;1.6248;37.9143;77.9881;224.7596
-3.8682;-10.4440;1.7107;37.6915;77.3420;224.7900
-3.8682;-11.2100;1.7471;37.4876;76.6993;224.8312
-3.9003;-12.0141;1.7735;37.2712;76.0227;224.8347
-3.9003;-12.7968;1.7766;37.0787;75.3678;224.8347
-3.9194;-13.6940;1.7779;36.8523;74.7181;224.8313
-3.8636;-14.4986;1.8143;36.6428;74.0426;224.8313
-3.9666;-15.5037;1.8414;36.4300;73.4103;224.7977
-3.9214;-16.4017;2.0067;36.1971;72.7893;224.7747
-3.9955;-17.5369;2.1052;35.9091;72.1861;224.7473
-4.0136;-18.5663;2.3439;35.5812;71.5604;224.6716
-4.0136;-19.9170;2.5655;35.2164;70.9465;224.5820
-4.0136;-21.0909;2.9780;34.7798;70.3398;224.4892
-4.0330;-22.5398;3.4457;34.3000;69.7289;224.3488
-4.0330;-24.1570;3.9958;33.7850;69.1402;224.2866
-4.1023;-25.9663;4.7413;33.2508;68.5946;224.2866
-4.2067;-27.8930;5.6603;32.6584;68.0599;224.2866
-4.2340;-29.8030;6.2876;31.9818;67.5611;224.4557
-4.2340;-32.1630;7.3717;31.2241;67.0811;224.6783
-4.2340;-34.7826;8.6024;30.3924;66.6113;224.9120
-4.1932;-37.7173;10.0533;29.4855;66.1102;225.2085
-4.0609;-40.9508;11.7034;28.5473;65.6014;225.5366
-3.8124;-44.4995;13.5734;27.5268;65.0914;225.9202
-3.4558;-48.3279;15.6417;26.4772;64.4445;226.2863
-2.9508;-52.5039;17.9161;25.4170;63.7432;226.6977
-2.2845;-57.0224;20.4432;24.3062;62.9447;227.1549
-1.4426;-61.9034;23.1943;23.2103;61.9409;227.5878
-0.3718;-67.1876;26.2226;22.1020;60.7936;228.0871
0.9397;-72.9151;29.5586;20.9674;59.4967;228.6714
2.4747;-79.0669;33.2883;19.8967;57.9580;229.2716
4.2257;-85.6551;37.3295;18.9793;56.2387;230.1474
6.1665;-92.5975;41.7050;17.8387;54.2649;230.5601
8.3041;-99.8973;46.4374;16.7576;51.8733;231.1864
10.6585;-107.5529;51.5771;15.8831;49.3107;231.4570
13.2365;-115.5855;57.0546;14.9129;46.1560;232.0288
16.0268;-123.9751;62.8791;14.0374;42.5866;232.5578
19.1510;-132.6230;69.0621;13.2325;38.4585;233.0820
22.6101;-141.4412;75.6810;12.6399;35.0790;234.2758
26.4556;-150.4546;82.8108;12.1652;31.4965;235.4862
30.7057;-159.6303;90.4792;11.8496;27.6084;236.6693
35.3559;-168.9435;98.6995;11.7887;23.4175;237.9616
40.4352;-178.3665;107.4695;11.7887;18.8422;239.3114
45.9074;-187.8681;116.7717;11.7887;13.8298;240.6688
51.8059;-197.4140;126.6210;12.0764;8.4170;242.1015
58.0766;-207.0111;136.9502;12.5666;2.4483;243.5909
64.6864;-216.5458;147.7144;13.4300;-4.0085;245.6544
71.5673;-226.0294;158.8484;14.5763;-10.4078;247.4540
78.6457;-235.4255;170.2342;16.0276;-17.3035;249.1126
86.0430;-244.8701;181.5938;17.9130;-24.8165;251.0617
93.3496;-254.0770;193.2804;20.0959;-32.7664;253.2177
101.2259;-263.1035;205.0976;22.5899;-41.0948;255.5852
108.8642;-272.3743;216.8892;25.3304;-49.8174;258.0749
116.3155;-281.9029;229.8955;28.4569;-58.8589;260.6769
124.1806;-290.8852;242.1389;32.0082;-69.1746;263.7278
132.2512;-299.5112;254.1545;35.9147;-79.4341;267.1026
140.4075;-307.9559;266.0002;39.6038;-89.0321;271.4006
148.5135;-316.2115;277.7541;43.3687;-98.6034;275.3671
156.5691;-324.3475;289.1926;47.4087;-108.1182;279.5629
164.6922;-332.2684;300.2531;51.7003;-118.2160;283.9739
173.0199;-339.9044;311.2177;56.9532;-127.5725;287.9464
181.3013;-347.2061;321.8445;62.4999;-137.3422;292.5590
189.5317;-354.1919;332.3404;68.3390;-146.9107;297.7419
197.4799;-361.2550;342.7280;74.4905;-156.4199;303.0752
205.3680;-367.9429;352.6534;80.6717;-165.3749;308.5479
