LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
420.3457;-115.5459;382.9596;426.9656;61.1559;255.6318
419.1657;-119.1486;396.8399;431.9070;52.0491;262.9132
417.7369;-122.5791;410.3440;436.6592;43.2659;270.6934
416.1971;-125.8611;423.5191;441.0594;34.7041;278.8337
414.4065;-128.9700;436.2186;445.0020;26.4774;287.2199
412.2127;-132.1247;448.3193;448.7448;18.6998;296.0104
410.0477;-135.1483;460.0803;452.2424;11.5512;305.1885
407.7799;-137.9046;471.6121;454.7960;4.1088;313.7838
405.1707;-140.6217;482.4789;457.5712;-2.0410;323.1868
402.3508;-143.2258;492.8074;459.6318;-8.3559;332.0710
399.3994;-145.6602;502.6595;461.6709;-14.0499;340.8805
396.2134;-147.7390;512.1558;463.5063;-19.1607;349.6931
392.8238;-149.5221;521.1492;465.0754;-23.8403;358.4138
389.3663;-150.7333;529.9240;466.4788;-27.9239;366.8266
385.8733;-151.9041;537.8101;467.5123;-31.6942;374.9393
382.3928;-152.7110;545.1871;468.3251;-35.2268;382.3745
378.9959;-153.3746;551.8570;468.8286;-38.3149;389.6947
375.7165;-153.3746;558.3374;469.3320;-40.9638;396.5155
372.3680;-153.3746;563.9211;469.6167;-43.3472;402.9585
368.9822;-153.2673;569.2532;469.6167;-45.5825;408.8517
365.4733;-153.1439;573.9205;469.6167;-47.5933;414.2937
361.9341;-152.7019;578.3342;469.5613;-49.2539;419.3597
358.6451;-152.1415;582.1172;469.5591;-50.7253;423.9791
355.3666;-151.2753;585.6289;469.5508;-52.0693;428.0007
352.4606;-150.0752;588.5926;469.5508;-52.9906;431.8130
349.6681;-148.9395;591.3631;469.5508;-53.7986;435.0379
347.1775;-147.9351;593.4522;469.7985;-54.2472;437.9181
345.0068;-146.8402;594.9467;470.3311;-54.2472;440.4106
343.1788;-145.6299;595.7743;471.0736;-54.2472;442.4694
341.9536;-144.5924;596.1927;471.8414;-53.9330;444.0488
341.2520;-143.5976;596.2602;472.5797;-53.4706;445.2326
372.8182;-107.9508;-844.3901;372.8182;-107.9508;-844.3901
