LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
457.0142;-41.0188;5.7227;NaN;NaN;NaN
456.6924;-41.4325;5.4705;NaN;NaN;NaN
456.4022;-41.8228;5.2572;NaN;NaN;NaN
456.1464;-42.1140;5.1373;NaN;NaN;NaN
455.7954;-42.4241;4.8774;NaN;NaN;NaN
455.3140;-42.7328;4.4959;NaN;NaN;NaN
454.8951;-42.9603;4.1043;NaN;NaN;NaN
454.3368;-43.2105;3.5783;NaN;NaN;NaN
453.6315;-43.4793;2.8609;NaN;NaN;NaN
452.8503;-43.6756;2.0942;NaN;NaN;NaN
451.9447;-43.7986;1.1812;NaN;NaN;NaN
450.8693;-43.9950;0.1754;NaN;NaN;NaN
449.8347;-44.0725;-0.5912;NaN;NaN;NaN
448.2645;-44.6038;-1.7538;NaN;NaN;NaN
446.8060;-45.1978;-2.3975;NaN;NaN;NaN
445.2773;-46.0929;-2.3975;NaN;NaN;NaN
443.7615;-47.3470;-2.3975;NaN;NaN;NaN
442.2774;-49.0976;-2.2504;NaN;NaN;NaN
440.9369;-51.3860;-1.9824;NaN;NaN;NaN
440.0728;-53.7681;-0.5584;NaN;NaN;NaN
439.0132;-57.3891;0.1494;NaN;NaN;NaN
438.0149;-61.8188;2.5879;NaN;NaN;NaN
437.4213;-66.8367;4.8254;NaN;NaN;NaN
436.7887;-72.7130;7.0002;NaN;NaN;NaN
436.3423;-79.3631;9.6217;NaN;NaN;NaN
436.0290;-86.8327;13.0346;NaN;NaN;NaN
435.6400;-95.0994;16.3743;NaN;NaN;NaN
435.6369;-103.4803;23.8327;NaN;NaN;NaN
435.6369;-111.5902;28.4581;NaN;NaN;NaN
435.6369;-121.6590;35.1861;NaN;NaN;NaN
436.1020;-131.9940;42.3804;NaN;NaN;NaN
436.6266;-142.9027;50.2809;NaN;NaN;NaN
437.0749;-153.7497;59.1290;NaN;NaN;NaN
437.4881;-165.1008;68.6872;NaN;NaN;NaN
438.0788;-176.9400;79.0562;NaN;NaN;NaN
438.0788;-188.8098;89.2942;NaN;NaN;NaN
438.0788;-200.7165;100.6146;NaN;NaN;NaN
437.6315;-211.9836;113.4078;NaN;NaN;NaN
437.5934;-224.4625;125.6400;NaN;NaN;NaN
437.3915;-236.0720;138.3721;NaN;NaN;NaN
437.4341;-247.5978;151.7918;NaN;NaN;NaN
437.4341;-259.0158;165.7724;NaN;NaN;NaN
437.3453;-270.5251;178.6146;NaN;NaN;NaN
437.0413;-281.6289;192.9426;NaN;NaN;NaN
435.7767;-291.6737;208.8566;NaN;NaN;NaN
435.0359;-301.9475;223.2877;NaN;NaN;NaN
433.9304;-311.6588;238.1354;NaN;NaN;NaN
432.8396;-321.1884;252.7377;NaN;NaN;NaN
431.5752;-330.4318;267.7063;NaN;NaN;NaN
429.4173;-338.7597;283.1349;NaN;NaN;NaN
427.5060;-346.8683;298.2667;NaN;NaN;NaN
425.6169;-354.8645;313.2610;NaN;NaN;NaN
423.7874;-362.0160;328.1036;NaN;NaN;NaN
421.2892;-369.5331;342.3733;NaN;NaN;NaN
418.6795;-376.5682;355.5680;NaN;NaN;NaN
416.0298;-381.7232;369.0614;NaN;NaN;NaN
415.0939;-389.0216;381.7748;NaN;NaN;NaN
413.8396;-392.0166;390.4142;NaN;NaN;NaN
411.0803;-397.8502;402.8038;NaN;NaN;NaN
407.5928;-406.5045;416.8095;NaN;NaN;NaN
404.4754;-411.1921;429.0209;NaN;NaN;NaN
401.6428;-416.1663;439.7988;NaN;NaN;NaN
398.5537;-420.7996;450.6613;NaN;NaN;NaN
395.5404;-425.2452;460.6223;NaN;NaN;NaN
392.4460;-429.7223;470.2935;NaN;NaN;NaN
389.3090;-434.0086;479.3643;NaN;NaN;NaN
386.3113;-438.4107;487.5613;NaN;NaN;NaN
383.4411;-442.8491;495.2738;NaN;NaN;NaN
380.3005;-446.7263;503.8278;NaN;NaN;NaN
377.4603;-450.3566;511.6487;NaN;NaN;NaN
374.6828;-454.3488;518.9645;NaN;NaN;NaN
372.0309;-458.7551;525.4219;NaN;NaN;NaN
369.3910;-462.2318;531.9265;NaN;NaN;NaN
366.7605;-466.1337;538.0666;NaN;NaN;NaN
363.9493;-470.0603;544.2428;NaN;NaN;NaN
361.3648;-473.8314;549.8411;NaN;NaN;NaN
358.8378;-477.5909;555.1366;NaN;NaN;NaN
356.3746;-481.2477;560.1927;NaN;NaN;NaN
353.9792;-484.8125;564.9717;NaN;NaN;NaN
351.6976;-488.4018;569.4978;NaN;NaN;NaN
349.4926;-491.9423;574.0255;NaN;NaN;NaN
347.5135;-495.5634;577.9497;NaN;NaN;NaN
345.5821;-499.3070;581.9150;NaN;NaN;NaN
343.7274;-502.6398;586.1840;NaN;NaN;NaN
341.9087;-505.8688;589.6263;NaN;NaN;NaN
340.2053;-509.2415;593.0472;NaN;NaN;NaN
338.5190;-512.4803;596.3051;NaN;NaN;NaN
336.8412;-515.5620;599.3571;NaN;NaN;NaN
335.3022;-518.6006;602.2228;NaN;NaN;NaN
333.6724;-521.4316;604.8551;NaN;NaN;NaN
332.1946;-524.2401;607.4893;NaN;NaN;NaN
330.7548;-527.0762;610.0909;NaN;NaN;NaN
329.5160;-529.8498;612.0619;NaN;NaN;NaN
328.2088;-532.3896;614.6199;NaN;NaN;NaN
326.9949;-534.9132;616.7149;NaN;NaN;NaN
325.7997;-537.4372;618.7215;NaN;NaN;NaN
324.6499;-539.6999;620.5706;NaN;NaN;NaN
323.4623;-541.9467;622.3400;NaN;NaN;NaN
322.1900;-544.1494;623.9807;NaN;NaN;NaN
321.0127;-546.2781;625.5544;NaN;NaN;NaN
319.8396;-548.3734;627.1579;NaN;NaN;NaN
318.7294;-550.3386;628.6185;NaN;NaN;NaN
317.5532;-552.1829;630.2131;NaN;NaN;NaN
316.5387;-554.0392;631.6538;NaN;NaN;NaN
315.5486;-555.7991;633.0247;NaN;NaN;NaN
314.5596;-557.4351;634.4924;NaN;NaN;NaN
313.6816;-559.0447;635.8857;NaN;NaN;NaN
312.6949;-560.3265;637.0079;NaN;NaN;NaN
311.9914;-562.0368;638.4511;NaN;NaN;NaN
310.9611;-562.8061;639.4275;NaN;NaN;NaN
310.4019;-564.5338;640.7753;NaN;NaN;NaN
309.4988;-565.3476;641.5664;NaN;NaN;NaN
308.9841;-566.8654;642.6769;NaN;NaN;NaN
308.0857;-567.6014;643.4331;NaN;NaN;NaN
307.3109;-568.7131;644.3042;NaN;NaN;NaN
306.7016;-569.7691;644.9667;NaN;NaN;NaN
306.0882;-570.6736;645.4996;NaN;NaN;NaN
305.3921;-571.4950;646.0377;NaN;NaN;NaN
304.7026;-572.3459;646.5132;NaN;NaN;NaN
303.6788;-572.4942;647.2060;NaN;NaN;NaN
303.2048;-573.6181;647.9003;NaN;NaN;NaN
302.3261;-573.7290;648.4789;NaN;NaN;NaN
301.4420;-573.7290;648.8120;NaN;NaN;NaN
300.8831;-573.7290;649.5326;NaN;NaN;NaN
300.1307;-573.6829;649.8715;NaN;NaN;NaN
299.5731;-573.6234;650.5540;NaN;NaN;NaN
299.0402;-573.6212;651.3298;NaN;NaN;NaN
298.3034;-573.2285;651.9175;NaN;NaN;NaN
297.2888;-572.2152;652.1975;NaN;NaN;NaN
296.6728;-571.6054;652.8766;NaN;NaN;NaN
296.2779;-571.1371;653.3869;NaN;NaN;NaN
296.0906;-570.8617;653.6527;NaN;NaN;NaN
