LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
202.2857;120.1814;-466.2836;179.2973;206.2669;-228.2601
202.2499;120.1242;-466.2505;179.3310;206.2349;-228.1679
202.2200;120.0636;-466.2083;179.3310;206.2200;-228.0842
202.1790;119.9881;-466.1632;179.3310;206.2200;-228.0372
202.1438;119.9051;-466.1224;179.3183;206.2200;-228.0045
202.1098;119.8147;-466.0850;179.2328;206.2341;-227.9706
202.0705;119.7333;-466.0296;179.2104;206.2400;-227.9586
202.0440;119.6642;-465.9667;179.1538;206.2590;-227.9496
202.0124;119.5958;-465.9105;179.0912;206.2910;-227.9416
201.9709;119.5237;-465.8626;179.0331;206.3242;-227.9325
201.9231;119.4584;-465.8051;178.9875;206.3287;-227.9325
201.8812;119.3913;-465.7672;178.9192;206.3640;-227.9325
201.8384;119.3277;-465.7379;178.7933;206.4573;-227.9362
201.7960;119.2722;-465.7030;178.6282;206.6017;-227.9463
201.7502;119.2210;-465.6786;178.5431;206.6574;-227.9566
201.6877;119.1724;-465.6417;178.4506;206.7309;-227.9566
201.6109;119.1253;-465.6042;178.2069;207.0065;-227.9566
201.5251;119.0929;-465.5613;177.9656;207.2563;-227.9566
201.4326;119.0811;-465.5342;177.7417;207.4510;-227.9566
201.3430;119.0811;-465.5212;177.6895;207.4510;-227.9989
201.2495;119.0811;-465.5052;177.6785;207.4724;-228.0784
201.1412;119.1064;-465.4946;177.6561;207.4724;-228.1533
201.0316;119.1352;-465.4934;177.4326;207.5865;-228.1719
200.9173;119.1815;-465.4887;177.2437;207.7569;-228.1769
200.8043;119.2537;-465.4856;177.0518;207.9284;-228.1870
200.6805;119.3512;-465.4856;176.8884;208.1348;-228.1870
200.5632;119.4616;-465.4856;176.7585;208.2644;-228.2053
200.4491;119.5806;-465.4856;176.6257;208.4549;-228.2053
200.3250;119.6965;-465.5087;176.4960;208.6078;-228.2133
200.2025;119.8351;-465.5099;176.3976;208.7288;-228.2304
200.0591;119.9956;-465.5257;176.3016;208.8845;-228.2468
199.9378;120.1865;-465.5355;176.1976;209.0376;-228.3207
199.8252;120.3863;-465.5539;176.0615;209.2181;-228.3922
199.7252;120.6035;-465.5655;175.9617;209.3765;-228.3922
199.6359;120.8124;-465.5671;175.9515;209.5605;-228.3922
199.5491;121.0258;-465.5678;175.9485;209.5674;-228.1768
199.4742;121.2522;-465.5780;175.9174;209.7151;-228.0734
199.4113;121.5041;-465.5917;175.9174;209.8608;-228.0348
199.3386;121.7715;-465.5917;175.8654;210.0169;-228.0175
199.2638;122.0405;-465.5917;175.7889;210.2326;-227.9731
199.2119;122.3129;-465.5736;175.7591;210.3970;-227.9404
199.1671;122.5790;-465.5699;175.7357;210.5689;-227.8966
199.1516;122.8517;-465.5660;175.7114;210.7662;-227.8567
199.1501;123.1488;-465.5283;175.6822;210.9771;-227.8068
199.1438;123.4384;-465.5097;175.6162;211.2322;-227.7376
199.1438;123.7332;-465.4699;175.4432;211.5083;-227.7103
199.1438;124.0343;-465.4318;175.3294;211.7552;-227.6833
199.1565;124.3364;-465.4020;175.2197;212.0416;-227.6377
199.2056;124.6406;-465.3526;175.2032;212.2814;-227.5910
199.2734;124.9325;-465.2677;175.2032;212.4485;-227.5424
199.3431;125.2167;-465.1964;175.2032;212.5563;-227.4856
199.4388;125.4909;-465.1340;175.2032;212.7046;-227.4267
199.5339;125.7463;-465.0701;175.2503;212.9481;-227.3109
199.6361;126.0049;-464.9921;175.2529;213.3688;-227.1433
199.7683;126.2612;-464.9208;175.2598;213.4693;-227.0959
199.9331;126.5368;-464.8341;175.2503;213.6530;-227.0729
200.1163;126.8176;-464.7491;175.2503;213.8522;-227.0607
200.2971;127.0886;-464.6553;175.0081;214.5423;-226.8702
200.4709;127.3401;-464.5662;175.0081;214.8690;-226.7439
200.6375;127.6032;-464.4573;174.9447;214.9022;-226.7372
200.8354;127.8754;-464.3377;174.8562;215.0768;-226.7053
201.0530;128.1510;-464.1797;174.8948;215.8688;-226.4226
201.2597;128.4264;-464.0455;174.8948;216.2156;-226.3020
201.4632;128.6914;-463.9163;174.7660;216.2378;-226.2822
201.6827;128.9766;-463.7784;174.8682;216.5669;-226.2174
201.8989;129.2623;-463.6451;174.8682;217.0963;-226.0517
202.1200;129.5633;-463.5107;174.7660;217.2424;-226.0136
202.3431;129.8903;-463.3516;174.6110;217.7656;-225.6899
202.5478;130.2225;-463.1732;174.2847;218.3416;-225.4955
202.7349;130.5430;-463.0253;174.0775;218.7927;-225.3685
202.9275;130.8698;-462.8705;173.9555;219.1997;-225.2572
203.1401;131.2212;-462.7086;173.6727;219.7474;-225.1287
203.3359;131.5966;-462.5475;173.5374;220.2504;-224.9943
203.5404;132.0085;-462.3747;173.4222;220.6331;-224.9346
203.7643;132.4433;-462.2072;173.3108;221.1189;-224.8067
203.9694;132.8744;-462.0589;173.1550;221.6364;-224.7377
204.1566;133.3324;-461.9232;173.0951;222.0002;-224.6259
204.3272;133.7945;-461.7804;173.0216;222.4541;-224.5735
204.4958;134.2807;-461.6545;172.9758;222.9495;-224.5733
204.6870;134.7865;-461.5520;172.7674;223.4496;-224.5731
204.8816;135.3172;-461.5170;172.7184;223.8579;-224.5566
205.0659;135.8442;-461.4587;172.6197;224.3288;-224.5566
205.2406;136.3819;-461.4078;172.5596;224.8007;-224.5566
205.4064;136.9454;-461.3824;172.5256;225.2755;-224.4770
205.5811;137.5815;-461.3426;172.3609;225.8842;-224.4678
205.7458;138.2312;-461.3053;172.3333;226.4135;-224.4508
205.8772;138.8942;-461.3024;172.1730;227.0958;-224.4294
206.0244;139.5680;-461.2909;172.1730;227.6571;-224.4126
206.1438;140.2579;-461.2853;172.0863;228.4791;-224.3629
206.2286;140.9718;-461.2833;172.0787;228.8400;-223.4542
206.3300;141.7454;-461.2666;171.7827;229.6225;-222.8883
206.4261;142.5425;-461.2559;171.7827;230.5429;-222.6646
206.4990;143.3192;-461.2533;171.5088;231.5021;-222.5117
206.5588;144.1789;-461.2364;171.2936;232.3987;-222.3833
206.5871;145.0394;-461.2364;171.0937;233.3565;-222.2977
206.6261;145.8942;-461.2364;170.8884;234.2382;-222.2286
206.6471;146.8407;-461.2661;170.6535;235.1142;-222.2286
206.6494;147.7905;-461.2749;170.4211;236.0891;-222.2286
206.6494;148.7617;-461.3173;170.1903;237.0532;-222.2340
206.6494;149.7732;-461.3239;169.9872;238.0404;-222.2392
206.6379;150.7756;-461.3331;169.7543;239.0496;-222.2392
206.6144;151.8379;-461.3974;169.5456;240.1013;-222.2461
206.5948;152.9171;-461.4714;169.3511;241.1491;-222.2461
206.5730;154.0652;-461.5635;169.1379;242.2211;-222.2461
206.5127;155.2026;-461.6500;168.9192;243.2843;-222.3128
206.4803;156.4064;-461.7371;168.7688;244.3967;-222.3147
206.3629;157.5928;-461.8499;168.5401;245.5301;-222.3258
206.2538;158.7993;-462.0520;168.3166;246.6668;-222.3852
206.2287;160.0536;-462.1497;168.1277;247.8557;-222.4288
206.1928;161.3359;-462.3010;167.9181;249.0472;-222.5256
206.1468;162.6740;-462.4359;167.7225;250.2442;-222.5976
206.1403;163.9904;-462.5721;167.5339;251.4881;-222.6346
206.1282;165.3621;-462.7014;167.3312;252.7457;-222.6566
206.1282;166.7891;-462.8427;167.1267;254.0187;-222.6846
206.1403;168.2056;-462.9651;166.8992;255.3212;-222.7588
206.1946;169.7018;-463.1008;166.6227;256.6419;-222.8039
206.2607;171.2113;-463.2129;166.4081;257.9780;-222.8382
206.3691;172.7870;-463.2890;166.1531;259.3372;-222.8382
206.4979;174.3508;-463.3643;165.8973;260.7010;-222.8581
206.6386;175.9621;-463.4479;165.6552;262.1195;-222.8581
206.7943;177.6217;-463.5177;165.4525;263.5059;-222.8964
206.9701;179.3245;-463.6174;165.4525;265.0599;-224.3884
207.1608;181.0493;-463.7106;165.4525;266.1202;-224.9001
207.3255;182.7648;-463.7908;165.6284;267.2403;-225.0491
207.4817;184.4992;-463.8826;165.6284;268.4362;-225.1444
207.6798;186.3022;-463.9668;165.6284;269.8856;-225.3624
207.9147;188.1629;-464.0595;165.4610;271.3405;-225.7734
208.1516;190.0857;-464.1331;165.3174;272.8101;-226.3194
208.4113;192.0141;-464.2159;165.2057;274.2342;-226.8035
208.6682;193.9807;-464.2968;165.0545;275.6839;-227.2465
208.8826;195.9382;-464.3890;164.9053;277.1074;-227.5152
209.0941;197.8825;-464.4868;164.7060;278.5652;-227.7012
209.2900;199.8657;-464.5925;164.4792;280.0397;-227.8226
209.4874;201.8869;-464.6812;164.2097;281.5129;-227.8326
209.7367;203.9259;-464.7683;163.8841;283.0151;-227.8326
209.9557;205.9810;-464.7769;163.5597;284.5293;-227.8326
210.1974;208.0580;-464.7769;163.1891;286.0571;-227.7432
210.4864;210.1351;-464.7769;162.7834;287.6186;-227.5887
210.8069;212.1895;-464.6266;162.3717;289.2158;-227.4761
211.1842;214.2627;-464.3829;161.9143;290.8612;-227.3427
211.6493;216.2874;-464.0234;161.4148;292.6059;-227.1416
212.2254;218.3250;-463.4927;160.9306;294.3765;-226.9168
212.9470;220.2584;-462.7988;160.4459;296.2450;-226.5796
213.7568;222.0421;-461.8873;159.9558;298.2066;-226.2100
214.6822;223.7272;-460.7249;159.5116;300.2713;-225.7884
215.7619;225.2351;-459.3062;159.2511;302.6545;-225.1473
217.0591;226.6764;-457.7237;159.2142;305.0460;-224.6610
218.5642;227.9153;-455.9554;159.2142;307.6116;-224.0147
220.4766;228.9937;-454.0356;159.2142;310.3323;-223.2169
222.7203;229.8700;-451.8699;159.6124;313.0081;-222.3280
225.3527;230.5798;-449.5057;159.9949;315.9256;-221.5929
228.3628;231.1283;-446.9279;160.9597;318.5655;-220.6816
231.7606;231.4636;-444.0742;161.5137;321.4900;-220.2671
235.5489;231.4636;-441.0226;162.2663;324.2370;-219.6495
239.7367;231.4636;-438.3518;162.9922;327.0985;-219.1159
244.2989;231.4049;-434.8870;163.4947;330.2923;-218.2236
248.9817;230.7512;-431.0010;164.1841;333.3341;-217.3240
253.6139;229.8260;-426.6134;165.0333;336.0249;-216.4700
258.3750;228.7030;-421.8174;166.1154;338.5489;-215.3196
261.2943;228.5752;-414.6002;167.3347;340.8661;-214.3174
265.8734;227.0301;-407.7139;168.6465;343.1330;-213.1466
270.9979;225.0109;-400.9669;170.2338;345.5320;-211.5091
276.3320;222.5506;-394.2496;171.8217;347.6261;-210.1400
281.7929;219.8320;-387.2620;173.6648;349.6866;-208.6257
287.1323;217.0498;-379.6980;175.3334;351.4979;-207.1193
292.5017;214.1105;-371.3667;177.2078;353.2886;-205.2660
297.7697;211.0458;-362.5610;179.1549;354.9348;-203.3947
303.2451;207.6036;-353.7826;181.1528;356.4753;-201.4292
308.6689;204.1326;-344.3059;183.0972;357.7550;-199.5658
314.0358;200.4013;-334.5629;185.3284;358.8929;-197.4781
319.4535;196.6465;-324.5900;187.7146;359.8733;-195.1539
324.7413;192.8315;-314.2524;190.3483;360.7279;-192.6551
330.1433;188.8610;-303.6964;193.2169;360.7674;-190.1274
335.3884;184.6446;-294.2192;195.4032;360.9597;-189.4278
341.7885;180.6654;-282.4198;198.8422;360.9597;-185.7126
345.8307;176.3386;-271.6980;201.9510;360.7674;-183.3044
350.4278;172.3486;-260.1103;205.1772;360.4633;-180.9709
354.9665;168.3614;-248.3146;208.5585;359.6431;-178.6151
359.2828;164.2194;-236.4315;212.1404;358.4397;-176.2136
363.3910;159.9239;-224.7475;215.8503;356.9542;-173.7377
368.1106;154.7044;-213.3895;219.6633;355.1607;-171.2440
372.0465;150.3077;-201.5081;223.6490;353.1873;-168.5753
375.7098;146.0463;-189.6894;227.6492;351.0444;-165.7701
379.2101;141.8045;-177.8986;231.6870;348.6478;-162.9670
382.7234;137.6791;-166.3564;235.6554;346.0601;-160.0902
385.9728;133.6547;-155.1262;239.5988;343.2700;-157.1654
388.8034;130.5115;-145.4735;243.5548;340.3555;-154.1573
391.4994;126.7883;-134.8210;247.4636;337.3116;-151.0603
172.8124;-119.0948;-1366.9491;172.8124;-119.0948;-1366.9491
