RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-544.0333;186.1241;1209.3451;-476.5848;407.8660;1135.7783;-394.2589;387.5346;1448.9105
-544.4651;188.1132;1207.8770;-475.7071;409.9804;1135.3234;-394.7011;387.5346;1448.8227
-544.8835;190.0756;1206.3929;-474.8627;412.0888;1134.9694;-395.1175;387.3635;1448.6855
-545.2888;191.9945;1204.9811;-474.0215;414.1217;1134.6154;-395.4820;387.2361;1448.5311
-545.6870;193.9098;1203.5559;-473.1847;416.0712;1134.3000;-395.8959;387.1938;1448.4356
-546.0541;195.7465;1202.1350;-472.3364;417.9617;1133.9570;-396.3485;387.0353;1448.3438
-546.4245;197.5723;1200.7725;-471.5406;419.7963;1133.7028;-396.6259;386.8328;1448.1504
-546.8182;199.3411;1199.4610;-470.7594;421.5633;1133.4857;-397.0875;386.7621;1448.0733
-547.2163;201.0719;1198.1662;-469.9860;423.2281;1133.2695;-397.4619;386.6985;1447.9846
-547.6086;202.7483;1196.8935;-469.2031;424.7496;1133.0518;-397.7914;386.5757;1447.8667
-548.0380;204.3763;1195.6835;-468.4899;426.2327;1132.8196;-398.1502;386.5755;1447.7775
-548.4740;205.9731;1194.5532;-467.7995;427.7521;1132.7300;-398.3846;386.5755;1447.5794
-548.9245;207.5004;1193.4630;-467.1152;429.0562;1132.5322;-398.7945;386.5757;1447.5689
-549.3852;208.9491;1192.4138;-466.5203;430.2322;1132.3727;-398.9193;386.6803;1447.4316
-549.8779;210.3336;1191.4729;-465.9990;431.3722;1132.2652;-399.1542;386.8746;1447.3725
-550.3852;211.6424;1190.5806;-465.5485;432.4704;1132.2652;-399.3575;386.9802;1447.2874
-550.9314;212.9133;1189.7893;-465.1464;433.4667;1132.2652;-399.5935;386.9802;1447.2325
-551.5340;214.0841;1189.0858;-464.7977;434.4541;1132.3186;-399.9497;386.9802;1447.2234
-552.1282;215.1492;1188.5154;-464.5117;435.2776;1132.3680;-400.1590;386.8792;1447.1989
-552.7615;216.1013;1188.1002;-464.4118;436.0279;1132.4880;-400.4341;386.7952;1447.1989
-553.4527;216.9489;1187.8673;-464.4118;436.6126;1132.6294;-400.6860;386.6990;1447.1989
-554.2281;217.6372;1187.8673;-464.4118;437.0604;1132.8371;-401.0232;386.6780;1447.3017
-555.1067;218.1583;1187.8673;-464.6738;437.1695;1133.0979;-401.2924;386.6591;1447.4157
-556.1280;218.5174;1188.2083;-465.1144;437.1695;1133.4243;-401.4176;386.6028;1447.4896
-557.3315;218.5174;1188.8297;-465.8149;437.1695;1133.8315;-401.5176;386.6028;1447.6272
-558.6636;218.5174;1189.7627;-466.7881;436.7648;1134.3180;-401.6311;386.6028;1447.8662
-560.1681;218.2609;1191.0284;-468.0639;436.0924;1134.8522;-401.7158;386.6674;1448.1626
-561.8493;217.6506;1192.6396;-469.6634;435.1588;1135.4569;-401.7629;386.8235;1448.5753
-563.6632;216.7648;1194.6517;-471.6320;433.9619;1136.1775;-401.7629;386.8632;1448.9075
-565.8186;215.7723;1196.9343;-473.9538;432.4873;1136.9600;-401.7629;386.8632;1449.2009
-567.8718;214.1747;1199.7872;-476.5949;430.7327;1137.8175;-401.6089;386.8632;1449.3955
-570.1595;212.3900;1203.1379;-479.6628;428.6547;1138.8005;-401.4061;386.6754;1449.5233
-572.6621;210.3707;1206.9325;-483.2380;426.1485;1139.9436;-401.1968;386.4891;1449.6294
-575.3633;208.0752;1211.2090;-487.2593;423.2202;1141.2782;-401.0316;386.2591;1449.7686
