pred-x;pred-y;pred-z;real-x;real-y;real-z
830.8030395507812;228.8716583251953;23.89151382446289;776.0457;191.581;-27.5572
795.1661376953125;157.8262481689453;-82.49215698242188;779.5656;96.4633;-77.6513
813.5247192382812;187.63922119140625;145.0703582763672;879.2802;111.6359;54.1893
782.6085815429688;180.66871643066406;-36.01917266845703;659.1444;91.2033;-56.9166
685.2493286132812;115.56855010986328;16.30081558227539;599.0869;24.6266;-5.302
530.5618896484375;230.04786682128906;206.34262084960938;846.9458;360.9045;340.3708
628.46240234375;94.83861541748047;-63.74961471557617;640.0871;146.8857;43.25
790.2622680664062;76.34651947021484;-56.16172790527344;954.6874;-1.1691;-24.1922
601.9178466796875;284.9667053222656;-347.9814453125;593.633;259.5259;-253.9015
594.5193481445312;74.22191619873047;-123.26459503173828;464.6095;57.2393;-45.2157
695.2646484375;212.65518188476562;41.92096710205078;648.7799;122.6679;10.4559
468.99481201171875;201.87014770507812;367.8152160644531;615.6445;308.9548;490.409
1017.071533203125;250.27919006347656;187.27951049804688;1101.8802;172.3709;25.8894
562.8763427734375;97.36154174804688;-271.644775390625;655.8371;84.6106;-234.2792
826.79443359375;223.03543090820312;27.886751174926758;797.9608;177.9757;-71.0198
551.6904296875;138.5233612060547;178.01210021972656;363.7013;55.555;52.9058
787.4241943359375;310.63934326171875;-89.82051086425781;845.4266;267.4783;-130.6955
631.58544921875;409.7376403808594;-393.1551818847656;735.943;314.2747;-258.5993
900.8273315429688;146.0203857421875;-71.9681625366211;841.6834;85.1174;-97.6931
728.0970458984375;284.568603515625;4.203310012817383;731.6803;305.2274;37.1078
799.3016967773438;147.37229919433594;167.6183624267578;906.6064;178.4587;31.1209
868.9850463867188;51.53578567504883;-110.70611572265625;605.5194;-0.457;-31.7101
653.617919921875;46.0822868347168;-14.299201965332031;497.246;-16.5975;-26.9894
953.1572265625;254.2618408203125;160.88282775878906;1020.6621;162.8881;-7.9668
617.2171630859375;160.4022216796875;81.66447448730469;515.5026;7.1771;-55.1743
943.8157348632812;140.46810913085938;38.63722610473633;902.3958;99.7577;-4.7772
968.83837890625;35.81563949584961;-3.6061534881591797;817.8499;-64.2888;-68.4917
835.1074829101562;77.02255249023438;3.098033905029297;692.8746;0.3958;-42.4788
920.637939453125;126.05117797851562;-70.65687561035156;825.0023;105.5283;-107.1954
787.3096313476562;144.31268310546875;-53.991024017333984;793.7854;163.4335;-75.4454
1023.6497192382812;292.4747009277344;-59.59694290161133;925.5784;187.3081;-87.8317
1121.1900634765625;112.90145874023438;47.571556091308594;979.9608;40.691;-43.1969
973.252685546875;220.32000732421875;38.80556869506836;966.6736;143.8774;-23.3236
661.7183837890625;363.8851623535156;202.7454071044922;640.6785;356.75;135.7354
871.723876953125;427.10992431640625;-13.809319496154785;808.6655;258.366;4.4661
887.203857421875;400.4045104980469;109.7022705078125;881.1035;239.0201;78.4543
847.5138549804688;160.7830047607422;51.59674835205078;781.4443;91.0088;-5.5068
700.1851196289062;9.42345905303955;-306.2304382324219;663.6515;14.2881;-199.0751
950.4838256835938;166.1813201904297;1.0871174335479736;851.6727;65.7085;-38.3452
684.9620361328125;458.6630554199219;-133.8162841796875;664.1261;445.6175;-40.2819
589.7702026367188;90.62132263183594;-29.17420196533203;482.2292;83.3193;-45.4847
61.479278564453125;-213.9375;122.89930725097656;-27.2879;-356.8636;-112.2543
471.7466735839844;81.03673553466797;613.9456787109375;557.0994;171.4944;781.5779
624.619384765625;24.52734375;171.4743194580078;639.0557;-30.364;135.4233
745.0239868164062;29.567279815673828;-44.65465545654297;592.0264;-21.1;-63.6005
58.2828369140625;-244.39712524414062;199.63864135742188;130.545;-299.3958;302.2426
799.3502807617188;114.04364013671875;48.933982849121094;773.7736;57.8028;-51.5022
759.5479736328125;216.39096069335938;-172.64419555664062;814.6152;196.8252;-109.781
531.4483642578125;87.08533477783203;-64.25678253173828;389.6084;48.1792;-39.2493
753.93408203125;451.127197265625;-6.762239456176758;622.7825;692.5371;-18.1614
823.2476806640625;235.73895263671875;-124.79222106933594;865.4062;173.1902;-147.3673
510.31634521484375;446.350341796875;113.2942123413086;348.5326;452.7816;138.8748
168.77655029296875;-75.95695495605469;220.68605041503906;528.9766;159.0701;494.3927
242.7795867919922;-48.47932052612305;192.91026306152344;428.9233;20.9383;239.0958
363.0631408691406;117.78748321533203;280.0958557128906;485.3977;199.1861;337.4662
625.1067504882812;45.54405975341797;-270.42010498046875;517.0261;33.5589;-178.9552
903.5518798828125;125.3515853881836;48.07792663574219;860.658;5.8212;-47.4268
701.3244018554688;299.4134521484375;-99.50359344482422;652.0793;251.446;-112.3916
