RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-308.6144;-103.9659;1643.7526;-380.8435;72.2307;1486.6132;-348.4605;399.1081;1510.1234
-307.3141;-103.7961;1643.7526;-379.9736;72.2895;1486.6132;-348.3432;399.2334;1509.9028
-306.0601;-103.5164;1643.4693;-379.2404;72.3893;1486.4124;-348.2309;399.3744;1509.6578
-304.9666;-103.2180;1643.0839;-378.5995;72.5455;1486.1761;-348.2011;399.5564;1509.3494
-304.0247;-102.9438;1642.6975;-377.9760;72.7260;1485.8250;-348.1406;399.8525;1509.2965
-303.2293;-102.6284;1642.3797;-377.3656;72.9286;1485.4178;-347.9677;400.0226;1509.0299
-302.6278;-102.2814;1642.0379;-376.7839;73.1444;1484.9598;-347.9036;400.3326;1509.0022
-302.2850;-102.1142;1641.6687;-376.2709;73.3888;1484.4564;-347.6456;400.5500;1508.9969
-302.0073;-101.8243;1641.2630;-375.8172;73.6360;1483.9539;-347.3484;400.7624;1509.0022
-301.7612;-101.3270;1640.9283;-375.4270;73.9053;1483.4598;-346.9935;400.9499;1509.0022
-301.7206;-100.9508;1640.7119;-375.1285;74.1955;1482.9825;-346.6940;401.2073;1509.1969
-301.6579;-100.4097;1640.5851;-375.0677;74.4699;1482.5821;-346.3159;401.4132;1509.1969
-301.6579;-99.9334;1640.4461;-375.0677;74.7854;1482.2623;-345.9068;401.6020;1509.1969
