XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-112.3106;-229.4426;1183.4626;NaN;NaN;NaN;NaN;NaN;NaN
-118.3500;-235.8992;1190.7571;NaN;NaN;NaN;NaN;NaN;NaN
-124.2668;-241.7585;1198.3298;NaN;NaN;NaN;NaN;NaN;NaN
-130.1460;-247.5441;1205.5617;NaN;NaN;NaN;NaN;NaN;NaN
-136.2632;-253.1434;1213.1209;NaN;NaN;NaN;NaN;NaN;NaN
-143.0554;-258.8153;1221.3362;NaN;NaN;NaN;NaN;NaN;NaN
-149.2619;-264.1187;1228.8611;NaN;NaN;NaN;NaN;NaN;NaN
-155.0708;-269.5389;1235.7975;NaN;NaN;NaN;NaN;NaN;NaN
-160.8680;-274.6582;1242.7329;NaN;NaN;NaN;NaN;NaN;NaN
-166.4004;-279.8791;1249.2370;NaN;NaN;NaN;NaN;NaN;NaN
-171.9883;-285.3467;1256.2365;NaN;NaN;NaN;NaN;NaN;NaN
-177.5992;-290.5389;1262.9888;NaN;NaN;NaN;NaN;NaN;NaN
-183.0488;-295.8297;1269.1290;NaN;NaN;NaN;NaN;NaN;NaN
-188.4730;-300.7754;1275.5860;NaN;NaN;NaN;NaN;NaN;NaN
-193.7553;-305.6790;1281.6662;NaN;NaN;NaN;NaN;NaN;NaN
-198.8912;-310.4981;1287.7794;NaN;NaN;NaN;NaN;NaN;NaN
-203.8767;-314.8665;1293.6300;NaN;NaN;NaN;NaN;NaN;NaN
-208.6965;-319.2009;1299.0368;NaN;NaN;NaN;NaN;NaN;NaN
-213.3321;-323.3033;1304.4395;NaN;NaN;NaN;NaN;NaN;NaN
-217.8059;-327.1200;1309.2063;NaN;NaN;NaN;NaN;NaN;NaN
-222.0728;-330.8901;1313.9603;NaN;NaN;NaN;NaN;NaN;NaN
-226.1854;-334.0520;1318.4106;NaN;NaN;NaN;NaN;NaN;NaN
-230.1416;-337.2978;1322.6143;NaN;NaN;NaN;NaN;NaN;NaN
-233.8648;-340.2067;1326.5539;NaN;NaN;NaN;NaN;NaN;NaN
-237.3171;-342.8316;1330.3801;NaN;NaN;NaN;NaN;NaN;NaN
-240.6306;-345.4940;1334.1470;NaN;NaN;NaN;NaN;NaN;NaN
-243.7176;-348.0120;1337.5052;NaN;NaN;NaN;NaN;NaN;NaN
-246.5607;-350.2106;1340.8357;NaN;NaN;NaN;NaN;NaN;NaN
-249.2359;-352.5621;1344.1152;NaN;NaN;NaN;NaN;NaN;NaN
-251.7206;-354.5642;1347.1859;NaN;NaN;NaN;NaN;NaN;NaN
-254.0180;-356.5815;1350.1697;NaN;NaN;NaN;NaN;NaN;NaN
-256.1268;-358.7110;1353.0779;NaN;NaN;NaN;NaN;NaN;NaN
-258.0989;-360.9156;1355.9534;NaN;NaN;NaN;NaN;NaN;NaN
-259.8998;-362.9241;1358.6406;NaN;NaN;NaN;NaN;NaN;NaN
-261.6112;-364.8524;1361.1980;NaN;NaN;NaN;NaN;NaN;NaN
-263.2454;-366.7796;1363.7534;NaN;NaN;NaN;NaN;NaN;NaN
-264.8351;-368.6970;1366.2465;NaN;NaN;NaN;NaN;NaN;NaN
-266.3779;-370.3805;1368.5462;NaN;NaN;NaN;NaN;NaN;NaN
-267.9190;-372.1790;1370.7392;NaN;NaN;NaN;NaN;NaN;NaN
-269.3580;-374.1869;1372.9631;NaN;NaN;NaN;NaN;NaN;NaN
-270.7661;-375.9077;1374.8832;NaN;NaN;NaN;NaN;NaN;NaN
-272.0664;-377.6892;1376.6891;NaN;NaN;NaN;NaN;NaN;NaN
-273.3232;-379.3516;1378.5492;NaN;NaN;NaN;NaN;NaN;NaN
-274.5684;-380.9488;1380.1617;NaN;NaN;NaN;NaN;NaN;NaN
-275.7677;-382.5069;1381.3932;NaN;NaN;NaN;NaN;NaN;NaN
-277.0239;-384.0256;1382.4694;NaN;NaN;NaN;NaN;NaN;NaN
-278.2737;-385.4280;1383.3132;NaN;NaN;NaN;NaN;NaN;NaN
-279.6060;-386.7685;1384.1492;NaN;NaN;NaN;NaN;NaN;NaN
-280.8426;-388.0148;1384.7325;NaN;NaN;NaN;NaN;NaN;NaN
-282.0748;-389.1741;1385.2713;NaN;NaN;NaN;NaN;NaN;NaN
-283.2751;-390.3156;1385.2713;NaN;NaN;NaN;NaN;NaN;NaN
-284.4831;-391.4637;1385.2713;NaN;NaN;NaN;NaN;NaN;NaN
-285.7112;-392.6111;1385.0761;NaN;NaN;NaN;NaN;NaN;NaN
-286.8850;-393.5833;1384.6240;NaN;NaN;NaN;NaN;NaN;NaN
-288.2681;-394.7226;1384.1622;NaN;NaN;NaN;NaN;NaN;NaN
-289.5927;-395.4216;1384.0184;NaN;NaN;NaN;NaN;NaN;NaN
-290.9276;-396.1349;1383.4199;NaN;NaN;NaN;NaN;NaN;NaN
-292.4448;-396.9883;1383.0767;NaN;NaN;NaN;NaN;NaN;NaN
-294.0652;-397.8532;1382.9303;NaN;NaN;NaN;NaN;NaN;NaN
-295.6529;-398.6311;1382.4887;NaN;NaN;NaN;NaN;NaN;NaN
-297.3268;-399.4031;1382.3349;NaN;NaN;NaN;NaN;NaN;NaN
-299.0765;-400.2992;1382.2980;NaN;NaN;NaN;NaN;NaN;NaN
-300.5602;-400.8828;1381.8121;NaN;NaN;NaN;NaN;NaN;NaN
-302.1170;-401.6052;1381.6546;NaN;NaN;NaN;NaN;NaN;NaN
-303.6992;-402.1449;1381.4244;NaN;NaN;NaN;NaN;NaN;NaN
-305.1269;-402.6764;1381.1643;NaN;NaN;NaN;NaN;NaN;NaN
-306.3489;-403.2464;1380.7200;NaN;NaN;NaN;NaN;NaN;NaN
-307.5024;-403.7422;1380.2911;NaN;NaN;NaN;NaN;NaN;NaN
-308.2480;-404.0742;1379.4319;NaN;NaN;NaN;NaN;NaN;NaN
-309.0144;-404.6683;1379.1183;NaN;NaN;NaN;NaN;NaN;NaN
-309.3602;-404.9966;1378.2468;NaN;NaN;NaN;NaN;NaN;NaN
-309.6139;-405.4225;1377.4383;NaN;NaN;NaN;NaN;NaN;NaN
-309.6646;-405.8763;1376.6313;NaN;NaN;NaN;NaN;NaN;NaN
-309.6966;-406.1987;1375.8803;NaN;NaN;NaN;NaN;NaN;NaN
-309.7010;-406.3069;1374.8694;NaN;NaN;NaN;NaN;NaN;NaN
-309.7073;-406.3712;1374.0985;NaN;NaN;NaN;NaN;NaN;NaN
-309.7192;-406.3712;1373.4217;NaN;NaN;NaN;NaN;NaN;NaN
-309.8008;-406.3712;1372.6747;NaN;NaN;NaN;NaN;NaN;NaN
-309.9090;-406.3110;1372.3066;NaN;NaN;NaN;NaN;NaN;NaN
-23.3837;374.8322;1466.3756;21.7908;258.0718;909.7744;12.8767;344.9532;1146.1125
-23.1671;374.8353;1466.3620;21.8572;258.0306;909.7500;12.9780;344.9042;1146.1125
0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
