XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-369.5997;72.5895;912.3208;-408.8213;245.4501;1049.0203;-371.5027;209.2631;1305.2923
-370.8305;67.8728;921.0281;-410.2592;246.8218;1049.6711;-371.5027;208.3436;1305.1917
-372.6903;62.5554;929.9884;-411.9858;247.5988;1050.3472;-371.0203;207.1987;1304.7930
-374.5784;57.1179;939.7671;-413.9645;247.5988;1051.1052;-370.5942;206.3834;1304.4161
-376.8237;51.5100;950.2103;-415.3268;247.5988;1051.7182;-370.4783;204.4965;1304.0972
-379.3711;45.6301;961.0716;-417.2088;247.4253;1052.4644;-370.4783;204.1170;1304.0972
-382.2412;39.2893;972.7463;-419.0420;246.0620;1053.0612;-370.4783;204.1170;1304.0972
-385.4502;32.7684;984.7646;-421.0623;244.1720;1053.7858;-370.5795;204.1170;1304.2566
-389.0697;26.1021;997.2574;-422.8682;241.3836;1054.2957;-371.0108;204.3966;1304.9813
-392.9221;19.5132;1010.3406;-424.9216;237.7973;1054.8820;-371.3566;204.6259;1305.7687
-397.0661;12.7253;1023.5483;-427.4683;233.3614;1056.0292;-371.6083;206.1812;1306.7291
-401.7187;5.2274;1037.1289;-429.9746;228.2200;1056.8641;-371.8395;206.7362;1307.5351
-406.6230;-2.5130;1050.8365;-432.6624;222.3526;1057.9197;-372.3416;207.7053;1308.5839
-411.7475;-10.1464;1064.8768;-435.8174;215.6149;1059.4134;-372.5123;208.8452;1309.2869
-416.8186;-17.4545;1079.0661;-438.3177;207.7778;1060.5298;-372.7385;209.5135;1310.1694
-422.2690;-25.2925;1093.3073;-441.3834;199.3004;1062.2476;-372.7981;209.5982;1310.8047
-427.1915;-32.4863;1106.9758;-444.6912;190.3730;1064.3438;-372.8910;209.7943;1311.4805
-432.1438;-38.7946;1121.1871;-448.4201;180.6349;1067.1374;-372.8910;209.8395;1311.9956
-437.5091;-46.3316;1135.5574;-451.8576;170.3910;1070.4766;-372.8962;210.3446;1312.7003
-442.7259;-52.9334;1149.3752;-455.0957;159.6271;1074.5118;-372.9262;211.1267;1313.4360
-448.0044;-60.5937;1163.6901;-457.8870;148.7303;1079.2225;-373.1616;211.9127;1314.3387
-451.4250;-67.0325;1177.3928;-460.6369;137.4713;1084.6534;-373.2666;212.7803;1315.2241
-456.4943;-74.2173;1191.5619;-463.3059;126.2140;1090.7299;-373.2666;213.0771;1316.0489
-461.4985;-81.2896;1205.0472;-465.6394;115.0880;1097.2689;-373.2666;213.0771;1316.9311
-466.3250;-88.0311;1219.1343;-467.8996;104.1149;1104.4417;-373.1168;213.0771;1317.9907
-471.0153;-94.5311;1233.8201;-470.1636;93.5895;1112.1260;-372.9380;212.3070;1319.1758
-475.0372;-100.8307;1247.3668;-472.0911;83.1821;1120.1495;-372.8318;211.2831;1320.5455
-479.3500;-108.1715;1261.0254;-473.8135;73.2998;1129.0243;-372.7052;210.7099;1321.6379
-483.2575;-114.6686;1274.3977;-475.1468;63.6515;1138.1822;-372.7052;210.1096;1323.0135
-486.6874;-120.8101;1287.5557;-476.1672;54.2917;1147.5383;-372.7052;209.6048;1324.5703
-489.8891;-126.9972;1300.2544;-476.7952;45.3170;1157.1404;-372.8897;209.2747;1326.0827
-492.7555;-133.0649;1312.7819;-476.7952;36.6447;1166.8371;-372.9541;209.1499;1327.3565
-495.3321;-138.8946;1324.7828;-476.7952;28.5551;1176.5458;-373.2015;208.7651;1329.1549
-497.7110;-144.6971;1336.4366;-476.7672;20.7568;1186.6037;-373.4978;208.5044;1330.8458
-500.0156;-150.4748;1347.8727;-476.2366;13.4502;1196.8174;-373.4978;208.2396;1332.2885
-502.1630;-156.3161;1358.9152;-475.4199;6.5630;1207.1588;-373.4978;207.8794;1333.7008
-504.2934;-162.2450;1369.5021;-474.5026;0.1440;1217.5730;-373.3385;207.2427;1335.2358
-506.2146;-167.9832;1379.5694;-473.4239;-5.8485;1227.8405;-373.1627;206.5058;1336.8752
-507.8223;-173.4571;1389.1391;-472.0921;-11.4888;1237.9021;-372.9375;205.5659;1338.6187
-509.2105;-178.8392;1398.0547;-470.6287;-16.7651;1247.9091;-372.6880;204.4012;1340.3892
-510.7129;-184.2701;1406.4763;-468.9724;-21.6881;1257.5823;-372.5052;202.9840;1342.4596
-512.0800;-189.4166;1414.3280;-467.1749;-26.2292;1267.0879;-372.5052;201.4531;1344.9790
-513.4596;-194.3597;1421.8080;-465.4033;-30.3279;1276.5724;-372.4715;199.9253;1347.3797
-514.8055;-199.1736;1428.7496;-463.4194;-34.2384;1285.9892;-372.4122;198.7842;1349.4887
-516.1226;-203.8306;1434.7467;-461.5068;-37.6994;1295.0240;-372.3494;197.5170;1352.0078
-517.5977;-207.9743;1441.1766;-459.4239;-41.0662;1303.9843;-372.2259;196.5731;1354.2079
-518.7358;-212.1093;1446.4375;-457.7389;-43.9397;1312.6125;-371.7466;195.4189;1356.6876
-519.5820;-216.3760;1450.8079;-455.8732;-46.7397;1320.7228;-371.3376;194.3325;1358.7921
-520.5510;-220.1928;1455.6687;-454.0283;-49.1974;1328.2705;-371.0246;193.1740;1360.9283
-521.2175;-223.4803;1460.1114;-452.1555;-51.5262;1335.2606;-371.0246;192.0037;1362.4648
-521.4367;-226.6153;1463.6646;-450.4449;-53.4856;1341.9310;-370.9701;190.7668;1364.2476
-521.4367;-229.3823;1466.9655;-448.8024;-55.2355;1347.8179;-370.9701;189.6422;1365.6204
-521.4367;-231.5376;1469.9689;-447.5518;-56.7226;1353.6532;-371.0660;188.5745;1367.2847
-521.0729;-233.4996;1472.6836;-446.0387;-58.1743;1358.4050;-371.2116;188.0459;1368.2902
-520.8313;-235.1802;1475.4881;-444.7246;-59.3354;1362.5709;-371.2879;187.7062;1369.1296
-520.3846;-236.4917;1477.9343;-443.3214;-60.4229;1365.8936;-371.5293;187.6257;1369.1296
-519.7310;-237.4957;1480.2262;-441.9582;-61.3646;1368.4837;-371.8245;187.5652;1369.1296
-519.0811;-238.3456;1482.3577;-440.8263;-62.0720;1370.8548;-372.0100;187.2138;1368.8659
-518.1479;-238.9755;1484.2423;-439.3938;-62.6632;1371.7252;-372.2436;187.0369;1368.3026
-517.0403;-239.2087;1485.9634;-439.0344;-62.6632;1373.1783;-372.2436;186.2577;1367.8351
-515.7721;-239.4112;1487.7952;-439.0344;-62.6632;1375.1605;-372.2436;185.1846;1367.6027
-514.4752;-239.4112;1489.2382;-439.0344;-62.3072;1376.7278;-371.4117;184.6125;1367.5762
-513.3503;-239.4112;1490.3442;-439.2058;-61.7339;1377.6463;-371.4117;184.6125;1367.3681
-512.5668;-239.1859;1491.0805;-439.4273;-60.9945;1378.4443;-371.4117;184.6125;1366.8476
0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
