XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
25.9433;217.8001;892.1256;11.3260;306.2562;1130.6805;-16.0748;323.2052;1452.8836
25.9433;217.7015;892.2106;11.5133;306.3961;1130.6576;-15.8919;323.3246;1452.8477
25.9433;217.5723;892.3103;11.7131;306.5383;1130.6331;-15.7622;323.5573;1452.7615
25.9133;217.3975;892.4362;11.9125;306.6994;1130.5913;-15.7274;323.8116;1452.6228
25.9056;217.1685;892.6258;12.1513;306.8800;1130.5460;-15.6789;323.9235;1452.5129
25.8887;216.8854;892.9145;12.4381;307.0678;1130.5274;-15.6789;323.9235;1452.4020
25.8742;216.3968;893.0903;12.7726;307.3398;1130.5274;-15.6789;323.9235;1452.2886
25.8742;215.8982;893.4404;13.2044;307.6119;1130.5274;-15.8670;323.8317;1452.1382
25.8742;215.2942;894.1271;13.7389;307.9087;1130.6418;-16.1266;323.5476;1452.0239
25.8854;214.3405;894.6839;14.3028;308.3102;1130.7193;-16.3237;323.2130;1451.9343
25.9162;213.5354;895.6195;14.8771;308.7703;1130.7825;-16.7348;323.1050;1451.7888
25.9328;212.5991;896.4457;15.5509;309.2354;1130.8853;-16.7359;322.8198;1451.7888
26.0160;211.4990;897.3698;16.2467;309.7907;1131.0453;-16.7359;322.6106;1451.7888
26.0160;210.2119;898.5206;16.9667;310.3790;1131.1950;-16.7359;322.4544;1451.8851
26.0160;208.6850;899.8156;17.7016;311.0614;1131.4221;-16.5047;322.2729;1452.1076
25.6536;206.5664;901.4368;18.5155;311.6535;1131.6893;-16.1824;322.0279;1452.4046
25.3159;204.5944;903.1999;19.4247;312.1321;1132.0116;-16.1666;321.7968;1452.6582
24.7591;202.5519;904.9630;20.3684;312.8667;1132.4330;-16.0484;321.4026;1453.0631
24.3349;200.2469;906.9540;21.3812;313.4693;1132.9129;-16.0484;321.0584;1453.4114
23.9090;197.1828;909.4419;22.4175;314.0468;1133.4639;-16.0484;320.6568;1453.8234
23.0753;194.0964;912.0119;23.5354;314.5209;1134.0762;-16.1683;320.3318;1454.2525
21.9096;190.4193;914.8705;24.7070;314.9026;1134.7228;-16.3295;319.9347;1454.6904
20.4454;186.0687;918.1500;26.0298;315.0482;1135.2866;-16.3645;319.6585;1455.1504
18.8565;181.4420;921.6605;27.4675;315.0482;1135.9250;-16.6619;319.2825;1455.5385
17.1410;176.5127;925.4983;29.0570;315.0482;1136.6955;-17.1102;319.0468;1455.8614
15.4496;171.2697;929.6052;30.7257;314.8153;1137.5590;-17.5331;318.9217;1456.1705
13.7000;165.7496;934.4040;32.3205;314.4980;1138.5615;-17.8541;318.9217;1456.5427
11.8915;160.0218;939.4501;33.9520;313.9784;1139.5541;-18.1198;318.9217;1456.8813
10.0592;153.9286;945.0059;35.5387;313.3254;1140.5474;-18.3452;319.3132;1457.2195
8.1303;147.6332;950.9700;37.1695;312.3389;1141.5482;-18.3641;320.0048;1457.5639
6.0991;141.0231;957.4037;38.7021;311.1448;1142.6200;-18.4236;320.4179;1457.9285
4.0168;134.1260;964.2482;40.3547;309.5725;1143.7571;-18.7059;320.9757;1458.0614
1.8272;126.9839;971.3395;41.8542;307.6483;1144.9411;-18.8448;320.9757;1458.4230
-0.3911;119.6248;978.7645;43.2292;305.8104;1146.0080;-19.2147;320.9757;1458.6043
-2.6039;112.1331;986.6829;44.4391;304.1397;1147.0806;-19.7156;320.5440;1458.9486
-4.8384;104.6580;994.8529;45.6991;301.9588;1148.2531;-20.3296;320.0515;1459.1462
-7.1063;97.0248;1003.2718;46.8124;299.4583;1149.4784;-20.6508;319.9030;1459.4608
-9.3605;89.4937;1012.1110;47.8106;296.7194;1150.8224;-21.0059;319.9030;1459.6185
-11.6269;81.9786;1021.2002;48.8201;293.5988;1152.2317;-21.4662;319.9030;1459.7372
-13.8334;74.4057;1030.5485;49.8557;290.1697;1153.5963;-21.9427;319.9132;1459.8048
-16.1042;66.8704;1040.0364;50.8197;286.3551;1154.9461;-22.4302;319.9132;1459.9171
-18.3608;59.3721;1049.7025;51.6218;282.2614;1156.3323;-22.6879;319.9132;1460.2713
-20.6293;51.9487;1059.5737;52.3757;277.8883;1157.8026;-23.1909;319.8208;1460.3927
-22.9126;44.5683;1069.8468;53.0262;273.2462;1159.2396;-23.6791;319.6876;1460.4339
-25.2900;37.2465;1080.1655;53.5417;268.3004;1160.7267;-24.1284;319.4841;1460.5591
-27.6919;30.0384;1090.6381;54.0769;263.0738;1162.3984;-24.6547;319.2500;1460.6199
-29.8023;23.1285;1101.5650;54.5522;257.6601;1164.3312;-25.2522;318.8068;1460.7597
-32.1304;16.5074;1112.5346;54.7249;252.1206;1166.2501;-25.7896;318.3762;1460.9580
-34.6199;9.8080;1123.5058;54.7249;246.2718;1168.1967;-26.1796;318.1019;1461.2402
-37.3850;3.0123;1134.2101;54.7249;240.2194;1170.4386;-26.5928;317.8089;1461.5359
-40.0359;-3.5513;1145.0386;54.6931;234.1160;1173.0077;-27.1893;317.3925;1461.8310
-42.6931;-9.9245;1155.8539;54.5342;227.9151;1175.5851;-27.7757;316.9148;1462.1847
-45.3748;-16.0900;1166.7183;54.1384;221.5795;1178.1741;-28.1671;316.9148;1462.5839
-48.0912;-22.0413;1177.5645;53.5100;215.1992;1180.8574;-28.5418;316.9148;1462.8133
-50.8289;-27.7598;1188.3603;53.1386;208.3073;1184.1313;-28.8866;316.6607;1462.9953
-53.5648;-33.2088;1199.1375;52.1130;201.6346;1187.1237;-28.9129;316.3672;1463.1090
-55.9752;-38.2489;1210.2394;50.4191;195.4979;1189.7386;-28.9633;316.2492;1464.3412
-58.7648;-43.2075;1221.0153;48.8943;189.2402;1192.7910;-29.0979;315.7351;1465.2704
-61.7218;-47.9964;1231.5953;47.2472;182.9315;1196.0577;-29.3015;315.4147;1466.1144
-64.8297;-52.5263;1241.7725;45.4920;182.9315;1196.0577;-29.3015;315.2264;1466.1144
-68.0740;-56.8720;1251.8777;43.8041;182.9315;1196.0577;-29.3015;315.1014;1466.1144
-71.4698;-60.9957;1261.6045;-605.7456;278.3826;1165.6492;167.4031;216.0423;1390.4746
-74.8417;-64.8253;1271.1090;-605.7456;278.3826;1133.0436;167.4031;216.0423;1390.4746
-78.1274;-68.3930;1280.3725;-605.7456;278.3826;1133.0436;167.4031;216.0423;1390.4746
-81.7701;-71.8286;1289.3113;-426.8727;232.5016;1133.0436;164.7693;223.3578;1414.1123
-85.4230;-75.1624;1297.9479;-237.1842;186.6205;1151.9958;162.1356;242.2170;1437.7500
-89.1043;-78.3442;1306.2664;-47.4957;140.7395;1170.9479;159.5018;261.0761;1461.3877
-92.8022;-81.3562;1314.2958;-17.2204;136.8991;1201.7781;40.0815;322.2250;1475.0807
-96.5455;-84.1795;1321.9366;-5.3119;132.0895;1219.3838;1.3887;322.2250;1478.1534
-100.3360;-86.8994;1329.2335;2.0168;125.8939;1229.9430;-12.0568;322.2250;1478.1534
-104.1708;-89.4017;1336.1487;5.9591;119.8226;1237.1980;-18.8043;320.5598;1478.1534
-108.2280;-91.8801;1342.7472;6.0666;114.3237;1242.6941;-22.3603;319.6114;1477.0895
-112.2229;-94.1002;1349.1288;6.0666;109.3942;1247.3186;-24.1901;318.8397;1476.8950
-116.3693;-96.1995;1355.2247;6.0666;104.9233;1251.6062;-25.3011;318.4988;1476.8950
-120.4726;-98.1308;1360.9758;4.4502;100.9020;1255.6877;-25.9590;318.2686;1476.8950
-124.5899;-99.9221;1366.3699;2.7562;97.1856;1259.6738;-26.6123;317.9851;1477.1799
-128.7381;-101.5957;1371.4752;0.6882;93.8522;1263.3366;-27.0306;317.7051;1477.7066
-132.9547;-103.1283;1376.2455;-1.5609;90.6652;1266.8177;-27.3012;317.3445;1478.3294
-137.1193;-104.5155;1380.7803;-3.9803;87.7305;1270.1565;-27.3012;317.0913;1479.0030
-141.2172;-105.7058;1385.0768;-6.5452;85.0148;1273.3283;-27.3012;317.0913;1479.6191
-145.3866;-106.7791;1389.0792;-9.1415;82.4430;1276.4482;-27.1734;317.0913;1480.0784
-149.5211;-107.6556;1392.8629;-11.7583;79.9781;1279.3851;-26.9262;317.1525;1480.4399
-153.6268;-108.3852;1396.4003;-14.2152;77.6865;1282.3306;-26.7114;317.2825;1480.7470
-157.8015;-108.9469;1399.8522;-16.3851;75.6340;1285.2514;-26.6339;317.3223;1481.0340
-161.8235;-109.3460;1403.0019;-18.5869;73.6926;1287.8661;-26.4839;317.3731;1481.3800
-165.7832;-109.6251;1405.9104;-21.0292;71.8227;1290.2795;-26.0197;317.6234;1481.5260
-169.6647;-109.7090;1408.5928;-23.4026;70.1871;1292.6264;-25.5905;317.7988;1481.6962
-173.3966;-109.7090;1411.0552;-25.6851;68.7162;1294.8377;-25.2234;317.7988;1481.9341
-176.9941;-109.7090;1413.4086;-27.7464;67.4810;1296.9273;-25.0303;317.7988;1482.2481
-180.7110;-109.5558;1415.4473;-29.6438;66.2778;1298.8658;-24.9819;317.7626;1482.5346
-184.6534;-106.8112;1415.7346;-31.6153;65.1883;1300.6036;-24.7671;317.7545;1482.8537
-187.2770;-105.3513;1416.5812;-33.5942;64.1527;1302.1659;-24.4421;317.7545;1483.1521
-189.9365;-104.1892;1417.7712;-35.4372;63.2225;1303.7489;-24.1793;317.7545;1483.3350
-192.7565;-103.1969;1419.0268;-37.3116;62.3571;1305.1436;-23.8194;317.8067;1483.5175
-195.6618;-102.2737;1420.2302;-39.2112;61.6249;1306.4624;-23.3676;317.8685;1483.6374
-198.6023;-101.4186;1421.4452;-41.2256;61.0195;1307.4819;-22.7568;317.9473;1483.6976
-201.6173;-100.5590;1422.5774;-43.1271;60.5246;1308.5272;-22.1722;318.0052;1483.6976
-204.6890;-99.6501;1423.6296;-44.9348;60.0064;1309.5902;-21.7551;318.0415;1483.6976
-207.7388;-98.7138;1424.6409;-46.7046;59.5518;1310.6299;-21.2765;318.1076;1483.6593
-210.7777;-97.7490;1425.5791;-48.4018;59.1491;1311.5409;-20.9268;318.1577;1483.6593
-213.8670;-96.9484;1426.6132;-50.1523;58.7943;1312.3904;-20.4794;318.1900;1483.6593
-217.0100;-95.9199;1427.3314;-51.8633;58.4965;1313.1599;-20.1453;318.1900;1483.6600
-220.0633;-94.8749;1428.0219;-53.5510;58.2043;1313.8497;-19.8441;318.1900;1483.6666
-223.1193;-93.7753;1428.6342;-55.2434;57.9251;1314.5373;-19.5557;318.1164;1483.6666
-226.1432;-92.6250;1429.2103;-56.9445;57.6827;1315.2195;-19.2869;318.0386;1483.6825
-229.1718;-91.4037;1429.7319;-58.7160;57.4735;1315.8470;-18.9937;317.9550;1483.6919
-232.3249;-90.1457;1430.1854;-60.5147;57.2895;1316.4846;-18.7101;317.8274;1483.6666
-235.5181;-88.8523;1430.6555;-62.3668;57.1093;1317.1221;-18.4704;317.7135;1483.6428
-238.7458;-87.6033;1431.1317;-64.1988;56.8984;1317.7904;-18.3183;317.5849;1483.6084
-242.0752;-86.2830;1431.5087;-66.0439;56.7001;1318.4389;-18.0929;317.4083;1483.6084
-245.4678;-85.0539;1431.8840;-67.9648;56.4594;1319.0917;-17.6746;317.2792;1483.6084
-248.8884;-83.6504;1432.1373;-69.7112;56.1731;1319.8379;-17.6538;317.0247;1483.7114
-252.3535;-82.3957;1432.4460;-71.5332;55.8561;1320.5032;-17.5722;316.7696;1483.7963
-255.8026;-81.0996;1432.7426;-73.4172;55.5061;1321.1983;-17.5409;316.4651;1483.9443
-259.1988;-79.8511;1433.0692;-75.2929;55.1426;1321.9662;-17.5409;316.1180;1484.0725
-262.4401;-78.5274;1433.3932;-77.2132;54.7792;1322.7149;-17.5409;315.7287;1484.2779
-265.5588;-77.2570;1433.8134;-79.2958;54.5068;1323.4039;-17.5765;315.3423;1484.5180
-269.0461;-76.3600;1434.2159;-81.4259;54.2664;1324.0366;-17.6856;314.8980;1484.8378
-272.2915;-75.2467;1434.6152;-83.6079;54.0523;1324.6257;-17.9071;314.3923;1485.2319
-275.4389;-74.0850;1435.0760;-85.8718;53.9168;1325.1875;-18.1345;313.8644;1485.6294
-278.5103;-72.9761;1435.6364;-88.1946;53.8290;1325.7472;-18.4023;313.2913;1486.1182
-281.5603;-71.9147;1436.2046;-90.5160;53.7574;1326.2044;-18.6405;312.5437;1486.8751
-284.5837;-70.9436;1436.7985;-92.8951;53.7574;1326.6101;-18.9500;311.8752;1487.4983
-287.6787;-69.8612;1437.3225;-95.2659;53.7574;1326.9865;-19.3758;311.2608;1488.0783
-290.6363;-68.8763;1437.8990;-97.5883;53.7780;1327.3411;-19.7956;310.6437;1488.6450
-293.6505;-67.8549;1438.4915;-99.8807;53.8362;1327.6296;-20.2336;310.0595;1489.1750
-296.5358;-66.8611;1439.1952;-102.1665;53.9177;1327.8462;-20.6445;309.5151;1489.6537
-299.3744;-65.7896;1439.8152;-104.3661;54.0256;1327.9931;-21.0918;309.0055;1490.1086
-302.1000;-64.7489;1440.4808;-106.4943;54.1221;1328.1274;-21.2869;308.3102;1490.5523
-304.7405;-63.7041;1441.1129;-108.5650;54.2086;1328.2561;-21.6004;307.8297;1490.8039
-307.3134;-62.6123;1441.7110;-110.4808;54.2926;1328.3535;-21.8301;307.3047;1490.9686
-309.7343;-61.5022;1442.2705;-112.3172;54.3425;1328.4505;-21.9151;306.7227;1491.1086
-312.0224;-60.3555;1442.7423;-114.0029;54.3915;1328.5478;-22.1319;306.2241;1491.1576
-314.2267;-59.1631;1443.0811;-115.6528;54.4717;1328.5758;-22.3212;305.7932;1491.1666
-316.3148;-58.0568;1443.3744;-117.1975;54.5823;1328.5758;-22.5812;305.3674;1491.1766
-318.3215;-56.9919;1443.5807;-118.6502;54.7211;1328.5758;-22.7345;304.9110;1491.3442
-320.1772;-55.9034;1443.7210;-120.0450;54.8947;1328.5067;-22.9855;304.4751;1491.5121
-321.9829;-54.7769;1443.7210;-121.3220;55.1058;1328.3725;-23.3137;304.0834;1491.7758
-323.6372;-53.6861;1443.7210;-122.5253;55.3509;1328.1590;-23.6222;303.6532;1492.0015
-325.1597;-52.6944;1443.6549;-123.6293;55.5794;1327.9659;-23.9758;303.3079;1492.3334
-326.5836;-51.6984;1443.5556;-124.6273;55.8417;1327.7302;-24.4146;302.9872;1492.6375
-327.9304;-50.7117;1443.3311;-125.5298;56.1580;1327.3861;-24.6793;302.5486;1493.0248
-329.1796;-49.7418;1443.0663;-126.3633;56.4667;1327.0508;-25.0325;302.2337;1493.1851
-330.3168;-48.8208;1442.7342;-127.1071;56.7957;1326.6767;-25.4636;302.0172;1493.5130
-331.3612;-47.9342;1442.3189;-127.7728;57.0941;1326.3035;-25.7277;301.6188;1493.9508
-332.2817;-47.0882;1441.8531;-128.3565;57.3855;1325.9109;-26.0200;301.2959;1494.3045
-333.0867;-46.3818;1441.3974;-128.9128;57.7252;1325.4510;-26.3431;301.0191;1494.7503
-333.7118;-45.9215;1441.1530;-129.3915;58.0663;1324.9607;-26.7000;300.7761;1495.0949
-334.6314;-45.6723;1440.9591;-129.8507;58.4555;1324.4621;-27.0136;300.4972;1495.4519
-334.8196;-45.2578;1440.9459;-130.2499;58.7948;1323.9882;-27.3129;300.1592;1495.8230
-334.8839;-44.9047;1440.9459;-130.5537;59.0660;1323.5529;-27.6605;299.9044;1496.0928
-334.8839;-44.5656;1440.9459;-130.8014;59.2908;1323.1589;-28.0021;299.6954;1496.2998
-334.8839;-44.2304;1441.0774;-130.9767;59.4929;1322.7977;-28.2513;299.5499;1496.3930
-334.7710;-43.9148;1441.2549;-131.0619;59.6455;1322.5167;-28.4721;299.4259;1496.4524
-334.7057;-43.6075;1441.4580;-131.0619;59.7880;1322.2845;-28.5495;299.4106;1496.4524
-334.6333;-43.2575;1441.6450;-131.0619;59.8928;1322.1134;-28.5495;299.4028;1496.4524
-334.5328;-42.9258;1441.8083;-131.0207;59.9959;1321.9801;-28.5495;299.4028;1496.3782
-334.4482;-42.6142;1441.8960;-130.9504;60.1161;1321.8522;-28.3649;299.4028;1496.3047
-334.4290;-42.3731;1441.8960;-130.8572;60.2350;1321.7837;-28.1502;299.5023;1496.2186
-334.3898;-42.1219;1441.8960;-130.7482;60.3639;1321.7087;-27.9044;299.6209;1496.1029
1130.3849;-430.3325;325.1453;1459.1024;-497.2903;204.6057;920.6316;-490.9566;320.0425
1130.6564;-430.3325;324.7184;1459.1660;-496.6589;201.9447;922.3472;-491.8396;319.7799
0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
