RWJC_x;RWJC_y;RWJC_z
0.0000;0.0000;0.0000
-0.0014;-0.0024;0.0038
-0.0109;-0.0189;0.0302
-0.0364;-0.0630;0.1006
-0.0853;-0.1475;0.2357
-0.1646;-0.2847;0.4547
-0.2809;-0.4859;0.7761
-0.4406;-0.7622;1.2173
-0.6495;-1.1236;1.7947
-0.9134;-1.5800;2.5236
-1.2372;-2.1403;3.4185
-1.6261;-2.8129;4.4929
-2.0844;-3.6058;5.7594
-2.6165;-4.5263;7.2295
-3.2262;-5.5809;8.9141
-3.9170;-6.7761;10.8230
-4.6924;-8.1173;12.9652
-5.5551;-9.6097;15.3490
-6.5079;-11.2579;17.9816
-7.5531;-13.0661;20.8697
-8.6929;-15.0378;24.0189
-9.9290;-17.1761;27.4344
-11.2630;-19.4838;31.1202
-12.6961;-21.9629;35.0800
-14.2294;-24.6153;39.3164
-15.8635;-27.4422;43.8316
-17.5991;-30.4445;48.6271
-19.4363;-33.6227;53.7034
-21.3752;-36.9768;59.0607
-23.4156;-40.5065;64.6984
-25.5571;-44.2110;70.6155
-27.7990;-48.0893;76.8100
-30.1405;-52.1399;83.2798
-32.5806;-56.3609;90.0218
-35.1180;-60.7503;97.0327
-37.7512;-65.3055;104.3085
-40.4787;-70.0238;111.8447
-43.2987;-74.9020;119.6363
-46.2091;-79.9367;127.6780
-49.2079;-85.1243;135.9638
-52.2928;-90.4608;144.4874
-55.4612;-95.9419;153.2420
-58.7107;-101.5632;162.2205
-62.0385;-107.3199;171.4154
-65.4418;-113.2071;180.8187
-68.9174;-119.2197;190.4222
-72.4625;-125.3522;200.2173
-76.0736;-131.5991;210.1951
-79.7476;-137.9546;220.3463
-83.4809;-144.4128;230.6616
-87.2700;-150.9676;241.1311
-91.1113;-157.6127;251.7449
-95.0011;-164.3417;262.4927
-98.9357;-171.1480;273.3641
-102.9112;-178.0252;284.3485
-106.9236;-184.9663;295.4351
-110.9691;-191.9645;306.6129
-115.0436;-199.0129;317.8708
-119.1430;-206.1044;329.1977
-123.2632;-213.2320;340.5821
-127.4002;-220.3884;352.0127
-131.5497;-227.5667;363.4780
-135.7076;-234.7594;374.9665
-139.8697;-241.9593;386.4665
-144.0317;-249.1593;397.9666
-148.1896;-256.3520;409.4551
-152.3392;-263.5302;420.9204
-156.4761;-270.6867;432.3510
-160.5964;-277.8143;443.7354
-164.6958;-284.9058;455.0623
-168.7702;-291.9542;466.3202
-172.8157;-298.9524;477.4980
-176.8281;-305.8935;488.5846
-180.8036;-312.7706;499.5690
-184.7382;-319.5770;510.4404
-188.6280;-326.3060;521.1882
-192.4693;-332.9511;531.8020
-196.2585;-339.5058;542.2715
-199.9917;-345.9640;552.5867
-203.6657;-352.3195;562.7380
-207.2768;-358.5664;572.7158
-210.8219;-364.6989;582.5109
-214.2976;-370.7115;592.1144
-217.7008;-376.5987;601.5177
-221.0286;-382.3555;610.7126
-224.2781;-387.9768;619.6911
-227.4466;-393.4579;628.4457
-230.5314;-398.7943;636.9693
-233.5302;-403.9819;645.2551
-236.4406;-409.0166;653.2968
-239.2606;-413.8948;661.0884
-241.9881;-418.6131;668.6246
-244.6213;-423.1683;675.9004
-247.1587;-427.5577;682.9113
-249.5988;-431.7788;689.6533
-251.9403;-435.8294;696.1231
-254.1822;-439.7077;702.3176
-256.3237;-443.4122;708.2347
-258.3641;-446.9419;713.8724
-260.3030;-450.2960;719.2297
-262.1402;-453.4742;724.3060
-263.8758;-456.4765;729.1014
-265.5099;-459.3034;733.6167
-267.0432;-461.9558;737.8531
-268.4763;-464.4349;741.8129
-269.8103;-466.7425;745.4987
-271.0464;-468.8809;748.9142
-272.1862;-470.8525;752.0634
-273.2314;-472.6607;754.9515
-274.1842;-474.3090;757.5841
-275.0470;-475.8014;759.9679
-275.8223;-477.1426;762.1101
-276.5131;-478.3377;764.0190
-277.1228;-479.3924;765.7036
-277.6549;-480.3128;767.1737
-278.1132;-481.1057;768.4401
-278.5021;-481.7784;769.5145
-278.8260;-482.3386;770.4095
-279.0898;-482.7950;771.1384
-279.2987;-483.1565;771.7157
-279.4584;-483.4327;772.1570
-279.5747;-483.6340;772.4784
-279.6540;-483.7711;772.6974
-279.7029;-483.8556;772.8325
-279.7284;-483.8998;772.9029
-279.7379;-483.9163;772.9293
-279.7393;-483.9186;772.9331
