z-difference=0.688, hand-distance=0.643, elbow-hand-distance=1, manual broken:False
0.0000;0.0000;0.0000;NaN;NaN;NaN;NaN;NaN;NaN
-0.0522;-0.0349;-0.0449;NaN;NaN;NaN;NaN;NaN;NaN
-0.0979;-0.0757;-0.0972;NaN;NaN;NaN;NaN;NaN;NaN
-0.1359;-0.1263;-0.1587;NaN;NaN;NaN;NaN;NaN;NaN
-0.1721;-0.1900;-0.2385;NaN;NaN;NaN;NaN;NaN;NaN
-0.1978;-0.2573;-0.3223;NaN;NaN;NaN;NaN;NaN;NaN
-0.2150;-0.3332;-0.4133;NaN;NaN;NaN;NaN;NaN;NaN
-0.2237;-0.4142;-0.5048;NaN;NaN;NaN;NaN;NaN;NaN
-0.2275;-0.4927;-0.5888;NaN;NaN;NaN;NaN;NaN;NaN
-0.2242;-0.5795;-0.6822;NaN;NaN;NaN;NaN;NaN;NaN
-0.2140;-0.6704;-0.7793;NaN;NaN;NaN;NaN;NaN;NaN
-0.2012;-0.7706;-0.8883;NaN;NaN;NaN;NaN;NaN;NaN
-0.1876;-0.8830;-1.0082;NaN;NaN;NaN;NaN;NaN;NaN
-0.1684;-1.0060;-1.1346;NaN;NaN;NaN;NaN;NaN;NaN
-0.1376;-1.1411;-1.2804;NaN;NaN;NaN;NaN;NaN;NaN
-0.0935;-1.2798;-1.4228;NaN;NaN;NaN;NaN;NaN;NaN
-0.0393;-1.4140;-1.5551;NaN;NaN;NaN;NaN;NaN;NaN
0.0177;-1.5526;-1.6850;NaN;NaN;NaN;NaN;NaN;NaN
0.0802;-1.7013;-1.8217;NaN;NaN;NaN;NaN;NaN;NaN
0.1449;-1.8617;-1.9721;NaN;NaN;NaN;NaN;NaN;NaN
0.2219;-2.0406;-2.1491;NaN;NaN;NaN;NaN;NaN;NaN
0.3170;-2.2359;-2.3437;NaN;NaN;NaN;NaN;NaN;NaN
0.4231;-2.4276;-2.5258;NaN;NaN;NaN;NaN;NaN;NaN
0.5283;-2.6303;-2.7232;NaN;NaN;NaN;NaN;NaN;NaN
